,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,dnf_id,yay_id
204,hdbscan,scikit-learn-contrib/hdbscan,others,,https://github.com/scikit-learn-contrib/hdbscan,https://github.com/scikit-learn-contrib/hdbscan,BSD-3-Clause,2015-04-22 13:32:37.000,2022-05-10 10:55:09.000000,2022-05-02 14:25:44,946,5.0,377.0,56.0,117.0,274.0,159.0,2180,A high performance implementation of HDBSCAN clustering.,78.0,31,True,2022-02-08 17:15:41,0.8.28.wheels,40.0,hdbscan,conda-forge/hdbscan,,,['sklearn'],1415.0,1415.0,https://pypi.org/project/hdbscan,433729.0,449367.0,https://anaconda.org/conda-forge/hdbscan,2022-02-11 21:21:32.499,1110351.0,,,,,2.0,,,,,,,,,,,,,,,
205,TextAttack,QData/TextAttack,adversarial,,https://github.com/QData/TextAttack,https://github.com/QData/TextAttack,MIT,2019-10-15 00:51:44.000,2022-06-14 16:17:49.000000,2022-06-14 16:17:48,2501,61.0,239.0,30.0,457.0,22.0,187.0,1982,"TextAttack is a Python framework for adversarial attacks, data augmentation, and model training in NLP..",52.0,31,True,2022-05-25 19:13:02,0.3.5,12.0,textattack,conda-forge/textattack,,,,81.0,81.0,https://pypi.org/project/textattack,11140.0,11283.0,https://anaconda.org/conda-forge/textattack,2021-06-29 21:16:15.345,3005.0,,,,,2.0,,,,,,,,,,,,,,,
206,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/deepmind/dm-haiku,https://github.com/deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2022-06-14 09:15:48.000000,2022-06-14 09:15:43,757,58.0,154.0,37.0,282.0,38.0,127.0,1954,JAX-based neural network library.,61.0,31,True,2022-02-14 13:30:08,0.0.6,8.0,dm-haiku,conda-forge/dm-haiku,,,,459.0,459.0,https://pypi.org/project/dm-haiku,97501.0,97692.0,https://anaconda.org/conda-forge/dm-haiku,2022-02-14 15:16:38.407,3067.0,,,,,3.0,,,,,,,,,,,,,,,
207,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2022-06-15 00:27:50.000000,2022-06-15 00:27:50,628,25.0,176.0,37.0,705.0,58.0,245.0,1771,PyTorch extensions for high performance and large scale training.,61.0,31,True,2022-03-09 19:12:03,0.4.6,28.0,fairscale,conda-forge/fairscale,,,['pytorch'],326.0,326.0,https://pypi.org/project/fairscale,157610.0,161111.0,https://anaconda.org/conda-forge/fairscale,2022-03-22 05:13:02.529,24510.0,,,,,2.0,,,,,,,,,,,,,,,
208,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2022-06-16 12:31:50.000000,2022-06-16 04:23:26,1508,146.0,404.0,63.0,1887.0,135.0,471.0,1684,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",156.0,31,True,2022-03-10 17:28:47,0.11.0,18.0,torchaudio,,,,['pytorch'],,,https://pypi.org/project/torchaudio,624643.0,624643.0,,,,,,,,2.0,,,,,,,,,,,,,,,
209,Wand,emcconville/wand,image,,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000,2022-06-01 02:10:15.000000,2022-06-01 02:10:05,1749,2.0,193.0,29.0,191.0,17.0,355.0,1180,The ctypes-based simple ImageMagick binding for Python.,98.0,31,True,2021-08-17 02:43:04,0.6.7,19.0,wand,conda-forge/wand,,,,11405.0,11405.0,https://pypi.org/project/wand,339749.0,340286.0,https://anaconda.org/conda-forge/wand,2022-05-18 03:24:18.727,12280.0,,,,,2.0,7596.0,,,,,,,,,,,,,,
210,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,LGPL-3.0,2012-08-03 07:43:59.000,2022-06-05 00:21:56.123000,2022-05-24 23:24:15,2609,14.0,318.0,58.0,983.0,290.0,778.0,1056,Cartopy - a cartographic python library with matplotlib support.,110.0,31,False,2022-01-13 02:45:47,0.20.2,20.0,cartopy,conda-forge/cartopy,,,,2447.0,2447.0,https://pypi.org/project/cartopy,132065.0,160733.0,https://anaconda.org/conda-forge/cartopy,2022-06-05 00:21:56.123,2150128.0,,,,,2.0,,,,,,,,,,,,,,,
211,petl,petl-developers/petl,data-pipelines,,https://github.com/petl-developers/petl,https://github.com/petl-developers/petl,MIT,2011-08-19 09:51:03.000,2022-06-08 06:15:03.866000,2022-06-08 00:11:09,1254,23.0,175.0,49.0,182.0,74.0,366.0,1020,Python Extract Transform and Load Tables of Data.,55.0,31,True,2022-06-08 00:20:55,1.7.10,42.0,petl,conda-forge/petl,,http://petl.readthedocs.org,,743.0,743.0,https://pypi.org/project/petl,200303.0,201492.0,https://anaconda.org/conda-forge/petl,2022-06-08 06:15:03.866,82081.0,,,,,2.0,,,,,,,,,,,,,,,
212,ktrain,amaiya/ktrain,ml-frameworks,,https://github.com/amaiya/ktrain,https://github.com/amaiya/ktrain,Apache-2.0,2019-02-06 17:01:39.000,2022-05-23 19:42:53.000000,2022-05-22 19:18:50,2819,194.0,235.0,32.0,35.0,,415.0,1015,ktrain is a Python library that makes deep learning and AI more accessible and easier to apply.,15.0,31,True,2022-05-20 16:09:28,0.31.2,100.0,ktrain,,,,['tensorflow'],300.0,300.0,https://pypi.org/project/ktrain,24568.0,24568.0,,,,,,,,3.0,,,,,,,,,,,,,,,
213,metrics,PyTorchLightning/metrics,distributed-ml,,https://github.com/Lightning-AI/metrics,https://github.com/Lightning-AI/metrics,Apache-2.0,2020-12-22 20:02:42.000,2022-06-15 21:09:56.000000,2022-06-13 20:06:34,832,131.0,186.0,24.0,593.0,53.0,318.0,910,"Machine learning metrics for distributed, scalable PyTorch applications.",139.0,31,True,2022-06-08 20:23:01,0.9.1,20.0,metrics,conda-forge/torchmetrics,,,['pytorch'],3309.0,3309.0,https://pypi.org/project/metrics,3152.0,27767.0,https://anaconda.org/conda-forge/torchmetrics,2022-06-09 09:53:51.053,368507.0,,,,,2.0,724.0,,Lightning-AI/metrics,,,,,,,,,,,,
214,tensorflow-upstream,ROCmSoftwarePlatform/tensorflow-upstream,ml-frameworks,,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,Apache-2.0,2018-04-09 21:24:50.000,2022-06-16 12:28:43.000000,2022-06-15 21:50:35,133330,3272.0,68.0,48.0,1405.0,52.0,271.0,594,TensorFlow ROCm port.,4026.0,31,True,2019-10-11 17:16:09,2.0.0-rocm,2.0,tensorflow-rocm,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-rocm,13624.0,13624.0,,,,,,,,3.0,20.0,,,,,,,,,,,,,,
215,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2022-06-10 09:12:19.000000,2022-06-10 09:12:18,238,11.0,12045.0,1581.0,193.0,655.0,559.0,44894,The worlds simplest facial recognition api for Python and the command line.,54.0,30,True,2018-04-02 17:18:43,1.2.2,2.0,face_recognition,conda-forge/face_recognition,,,['pytorch'],,,https://pypi.org/project/face_recognition,56700.0,57048.0,https://anaconda.org/conda-forge/face_recognition,2021-04-30 19:06:15.265,7179.0,,,,,2.0,462.0,,,,,,,,,,,,,,
216,TFlearn,tflearn/tflearn,ml-frameworks,,https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn,,2016-03-31 12:05:53.000,2021-01-25 09:41:59.000000,2020-11-30 04:34:51,613,,2330.0,466.0,255.0,548.0,362.0,9577,Deep learning library featuring a higher-level API for TensorFlow.,128.0,30,False,2020-11-11 19:26:11,0.5.0,8.0,tflearn,,,,['tensorflow'],3951.0,3951.0,https://pypi.org/project/tflearn,20866.0,20866.0,,,,,,,,3.0,,,,,,,,,,,,,,,
217,pretrainedmodels,Cadene/pretrained-models.pytorch,pytorch-utils,,https://github.com/Cadene/pretrained-models.pytorch,https://github.com/Cadene/pretrained-models.pytorch,BSD-3-Clause,2017-04-09 15:54:23.000,2022-04-22 09:08:45.000000,2020-04-16 08:02:22,154,,1757.0,227.0,46.0,80.0,94.0,8550,"Pretrained ConvNets for pytorch: NASNet, ResNeXt, ResNet, InceptionV4, InceptionResnetV2, Xception, DPN, etc.",22.0,30,False,,,1.0,pretrainedmodels,conda-forge/pretrainedmodels,,,['pytorch'],1644.0,1644.0,https://pypi.org/project/pretrainedmodels,109847.0,110145.0,https://anaconda.org/conda-forge/pretrainedmodels,2021-04-30 19:04:30.054,7166.0,,,,,1.0,,,,,,,,,,,,,,,
218,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23.000,2022-06-16 14:13:31.000000,2021-11-19 11:13:47,5439,,2272.0,236.0,1169.0,556.0,3326.0,7860,Open-source simulator for autonomous driving research.,138.0,30,False,2021-11-16 19:51:12,0.9.13,24.0,carla,,,,,193.0,193.0,https://pypi.org/project/carla,30248.0,30248.0,,,,,,,,2.0,,,,,,,,,,,,,,,
219,Hyperopt,hyperopt/hyperopt,hyperopt,,https://github.com/hyperopt/hyperopt,https://github.com/hyperopt/hyperopt,,2011-09-06 22:24:59.000,2022-06-11 02:57:51.000000,2021-11-29 10:21:36,1194,,850.0,128.0,255.0,369.0,235.0,6263,Distributed Asynchronous Hyperparameter Optimization in Python.,93.0,30,False,,,7.0,hyperopt,conda-forge/hyperopt,,,,6850.0,6850.0,https://pypi.org/project/hyperopt,2123463.0,2132982.0,https://anaconda.org/conda-forge/hyperopt,2022-04-30 16:43:00.797,428357.0,,,,,2.0,,,,,,,,,,,,,,,
220,PaddleSeg,PaddlePaddle/PaddleSeg,image,,https://github.com/PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22.000,2022-06-16 13:28:55.000000,2022-06-16 11:39:09,2346,96.0,1065.0,64.0,1081.0,567.0,576.0,4949,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in..",78.0,30,True,2022-04-20 07:59:21,2.5,15.0,paddleseg,,,,['paddle'],575.0,575.0,https://pypi.org/project/paddleseg,1166.0,1166.0,,,,,,,,2.0,,,,,,,,,,,,,,,
221,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2022-06-16 13:30:43.000000,2022-06-16 00:37:30,35229,410.0,609.0,137.0,6485.0,725.0,3877.0,4802,cuDF - GPU DataFrame Library.,242.0,30,True,2022-06-07 17:26:45,22.06.00,24.0,cudf,,,,,,,https://pypi.org/project/cudf,1581.0,1581.0,,,,,,,,1.0,,,,,,,,,,,,,,,
222,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2022-06-04 16:32:25.000000,2022-01-22 18:26:24,2187,,967.0,199.0,194.0,197.0,256.0,4738,Distributed Evolutionary Algorithms in Python.,78.0,30,False,,,4.0,deap,conda-forge/deap,,,,2706.0,2706.0,https://pypi.org/project/deap,185931.0,188494.0,https://anaconda.org/conda-forge/deap,2022-04-11 15:37:59.925,184573.0,,,,,2.0,,,,,,,,,,,,,,,
223,DoWhy,Microsoft/dowhy,interpretability,,https://github.com/py-why/dowhy,https://github.com/py-why/dowhy,MIT,2018-05-31 13:07:04.000,2022-06-16 09:37:19.000000,2022-06-13 15:15:59,556,64.0,652.0,129.0,257.0,59.0,146.0,4656,DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions...,52.0,30,True,2022-03-20 14:17:50,0.7.1,8.0,dowhy,conda-forge/dowhy,,,,108.0,108.0,https://pypi.org/project/dowhy,115811.0,116047.0,https://anaconda.org/conda-forge/dowhy,2022-03-21 02:41:13.248,5917.0,,,,,2.0,31.0,,py-why/dowhy,,,,,,,,,,,,
224,Perspective,finos/perspective,data-viz,,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2022-06-16 07:09:19.000000,2022-06-14 09:20:07,5195,75.0,466.0,100.0,1265.0,76.0,441.0,4629,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",70.0,30,True,,,20.0,perspective-python,conda-forge/perspective,,,['jupyter'],255.0,255.0,https://pypi.org/project/perspective-python,3010.0,8713.0,https://anaconda.org/conda-forge/perspective,2022-06-07 12:17:40.770,81213.0,,,,,2.0,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2320.0,,,,,,,,,
225,VisualDL,PaddlePaddle/VisualDL,ml-experiments,,https://github.com/PaddlePaddle/VisualDL,https://github.com/PaddlePaddle/VisualDL,Apache-2.0,2017-12-20 12:34:31.000,2022-06-16 08:06:13.000000,2022-04-01 08:12:37,861,1.0,584.0,151.0,667.0,78.0,336.0,4368,Deep Learning Visualization Toolkit.,31.0,30,True,2021-09-06 08:03:22,2.2.1,11.0,visualdl,,,,['paddle'],1185.0,1185.0,https://pypi.org/project/visualdl,88322.0,88329.0,,,,,,,,2.0,184.0,,,,,,,,,,,,,,
226,NeMo,NVIDIA/NeMo,nlp,,https://github.com/NVIDIA/NeMo,https://github.com/NVIDIA/NeMo,Apache-2.0,2019-08-05 20:16:42.000,2022-06-16 12:23:55.000000,2022-06-16 01:51:26,4466,200.0,994.0,128.0,2980.0,31.0,1081.0,4333,NeMo: a toolkit for conversational AI.,152.0,30,True,2022-06-03 20:40:57,1.9.0,31.0,nemo-toolkit,,,,['pytorch'],,,https://pypi.org/project/nemo-toolkit,19092.0,19329.0,,,,,,,,2.0,7844.0,,,,,,,,,,,,,,
227,imutils,PyImageSearch/imutils,image,,https://github.com/PyImageSearch/imutils,https://github.com/PyImageSearch/imutils,MIT,2015-01-11 20:05:39.000,2022-06-15 11:40:59.000000,2022-01-27 13:24:16,139,,969.0,150.0,108.0,86.0,77.0,4103,"A series of convenience functions to make basic image processing operations such as translation, rotation, resizing,..",21.0,30,True,,,3.0,imutils,conda-forge/imutils,,,,25847.0,25847.0,https://pypi.org/project/imutils,294519.0,296957.0,https://anaconda.org/conda-forge/imutils,2021-12-09 01:25:49.387,87796.0,,,,,2.0,,,,,,,,,,,,,,,
228,huey,coleifer/huey,data-pipelines,,https://github.com/coleifer/huey,https://github.com/coleifer/huey,MIT,2011-11-03 16:39:43.000,2022-06-13 12:52:38.000000,2022-06-13 12:52:26,942,7.0,335.0,82.0,163.0,,509.0,4087,a little task queue for python.,66.0,30,True,2021-11-28 15:46:21,2.4.2,44.0,huey,conda-forge/huey,,,,944.0,944.0,https://pypi.org/project/huey,146496.0,146979.0,https://anaconda.org/conda-forge/huey,2019-10-16 15:34:27.487,24165.0,,,,,2.0,,,,,,,,,,,,,,,
229,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,,2014-12-17 18:16:59.000,2022-06-16 02:59:01.000000,2022-06-10 03:56:49,27996,348.0,1408.0,180.0,1787.0,39.0,1401.0,4016,mlpack: a scalable C++ machine learning library --.,288.0,30,False,2020-10-28 16:27:07,3.4.2,40.0,mlpack,conda-forge/mlpack,,,,,,https://pypi.org/project/mlpack,112.0,2325.0,https://anaconda.org/conda-forge/mlpack,2021-11-09 18:05:21.719,104054.0,,,,,3.0,,,,,,,,,,,,,,,
230,sacred,IDSIA/sacred,ml-experiments,,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29.000,2022-06-10 12:42:24.000000,2022-03-28 13:48:51,1318,2.0,342.0,77.0,340.0,85.0,445.0,3839,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",97.0,30,True,2022-03-28 13:51:55,0.8.3,11.0,sacred,conda-forge/sacred,,,,1403.0,1403.0,https://pypi.org/project/sacred,44383.0,44462.0,https://anaconda.org/conda-forge/sacred,2021-11-14 09:49:23.948,556.0,,,,,2.0,,,,,,,,,,,,,,,
231,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-06-15 16:38:00.000000,2022-05-29 03:05:22,603,17.0,278.0,65.0,206.0,40.0,426.0,3466,Visualizer for pandas data structures.,23.0,30,True,2022-05-29 03:26:13,2.5.1,110.0,dtale,conda-forge/dtale,,,"['pandas', 'jupyter']",388.0,388.0,https://pypi.org/project/dtale,68456.0,72829.0,https://anaconda.org/conda-forge/dtale,2022-05-29 03:51:51.767,122462.0,,,,,2.0,,,,,,,,,,,,,,,
232,bqplot,bqplot/bqplot,data-viz,,https://github.com/bqplot/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2022-05-31 14:01:29.000000,2022-05-31 14:01:29,3520,13.0,434.0,108.0,933.0,209.0,358.0,3310,Plotting library for IPython/Jupyter notebooks.,58.0,30,True,2022-01-07 12:38:39,0.12.32,56.0,bqplot,conda-forge/bqplot,,,['jupyter'],32.0,32.0,https://pypi.org/project/bqplot,94369.0,134320.0,https://anaconda.org/conda-forge/bqplot,2022-02-11 15:47:15.986,979560.0,,,,,2.0,,,,bqplot,https://www.npmjs.com/package/bqplot,26533.0,,,,,,,,,
233,dyNET,clab/dynet,ml-frameworks,,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000,2022-03-12 01:10:50.000000,2022-03-11 14:08:21,3271,,671.0,188.0,731.0,257.0,665.0,3302,DyNet: The Dynamic Neural Network Toolkit.,159.0,30,True,2020-10-21 13:39:07,2.1.2,9.0,dyNET,,,,,215.0,215.0,https://pypi.org/project/dyNET,22764.0,22852.0,,,,,,,,3.0,6024.0,,,,,,,,,,,,,,
234,AzureML SDK,Azure/MachineLearningNotebooks,ml-experiments,,https://github.com/Azure/MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,MIT,2018-08-17 17:29:14.000,2022-06-10 22:22:08.000000,2022-06-03 18:04:13,1205,28.0,2111.0,2058.0,479.0,253.0,1031.0,3295,Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft.,60.0,30,True,2019-08-29 17:25:28,80469,28.0,azureml-sdk,,,,,,,https://pypi.org/project/azureml-sdk,1633267.0,1633277.0,,,,,,,,2.0,461.0,,,,,,,,,,,,,,
235,missingno,ResidentMario/missingno,data-viz,,https://github.com/ResidentMario/missingno,https://github.com/ResidentMario/missingno,MIT,2016-03-27 15:18:50.000,2022-02-27 20:46:03.000000,2022-02-27 20:46:03,186,,400.0,70.0,36.0,7.0,113.0,3203,Missing data visualization module for Python.,17.0,30,True,2022-02-27 20:38:13,0.5.1,5.0,missingno,conda-forge/missingno,,,,7632.0,7632.0,https://pypi.org/project/missingno,1077241.0,1080014.0,https://anaconda.org/conda-forge/missingno,2020-02-15 10:07:41.253,163611.0,,,,,2.0,,,,,,,,,,,,,,,
236,torchtext,pytorch/text,nlp,,https://github.com/pytorch/text,https://github.com/pytorch/text,BSD-3-Clause,2016-12-12 00:56:03.000,2022-06-16 11:34:20.000000,2022-06-15 15:41:38,1108,77.0,689.0,257.0,1132.0,258.0,400.0,3031,Data loaders and abstractions for text and NLP.,131.0,30,True,2022-03-10 18:31:55,0.12.0,18.0,torchtext,,,,['pytorch'],,,https://pypi.org/project/torchtext,137094.0,137094.0,,,,,,,,2.0,,,,,,,,,,,,,,,
237,mrjob,Yelp/mrjob,data-pipelines,,https://github.com/Yelp/mrjob,https://github.com/Yelp/mrjob,Apache-2.0,2010-10-13 18:35:21.000,2022-03-23 19:55:26.000000,2020-11-16 22:20:52,8622,,575.0,111.0,919.0,203.0,1093.0,2581,Run MapReduce jobs on Hadoop or Amazon Web Services.,142.0,30,False,,,13.0,mrjob,conda-forge/mrjob,,,,1008.0,1008.0,https://pypi.org/project/mrjob,76560.0,83319.0,https://anaconda.org/conda-forge/mrjob,2022-02-06 18:33:13.189,466431.0,,,,,2.0,,,,,,,,,,,,,,,
238,ImageHash,JohannesBuchner/imagehash,image,,https://github.com/JohannesBuchner/imagehash,https://github.com/JohannesBuchner/imagehash,BSD-2-Clause,2013-03-02 23:32:48.000,2022-05-24 19:41:19.000000,2021-09-07 19:15:32,209,,295.0,64.0,55.0,13.0,94.0,2405,A Python Perceptual Image Hashing Module.,20.0,30,True,2021-03-25 13:49:48,4.1.0,6.0,ImageHash,conda-forge/imagehash,,,,5256.0,5256.0,https://pypi.org/project/ImageHash,1403312.0,1406027.0,https://anaconda.org/conda-forge/imagehash,2021-07-15 15:00:27.543,181915.0,,,,,2.0,,,,,,,,,,,,,,,
239,NeuralProphet,ourownstory/neural_prophet,time-series-data,,https://github.com/ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,MIT,2020-05-04 05:12:43.000,2022-06-16 06:57:30.000000,2022-05-31 18:52:01,884,26.0,290.0,46.0,261.0,56.0,198.0,2321,NeuralProphet: A simple forecasting package.,21.0,30,True,2022-03-22 02:30:23,0.3.2,12.0,neuralprophet,,,,['pytorch'],87.0,87.0,https://pypi.org/project/neuralprophet,65503.0,65503.0,,,,,,,,2.0,,,,,,,,,,,,,,,
240,TF-Agents,tensorflow/agents,reinforcement-learning,,https://github.com/tensorflow/agents,https://github.com/tensorflow/agents,Apache-2.0,2018-11-17 00:29:12.000,2022-06-13 15:25:02.000000,2022-06-13 15:23:10,2080,51.0,600.0,83.0,180.0,122.0,434.0,2299,"TF-Agents: A reliable, scalable and easy to use TensorFlow library for Contextual Bandits and Reinforcement Learning.",122.0,30,True,,,,tf-agents,,,,['tensorflow'],820.0,820.0,https://pypi.org/project/tf-agents,141947.0,141947.0,,,,,,,,1.0,,,,,,,,,,,,,,,
241,filterpy,rlabbe/filterpy,probabilistics,,https://github.com/rlabbe/filterpy,https://github.com/rlabbe/filterpy,MIT,2014-07-15 02:15:19.000,2022-06-07 03:26:49.000000,2022-06-03 17:23:01,571,7.0,502.0,73.0,70.0,44.0,156.0,2268,"Python Kalman filtering and optimal estimation library. Implements Kalman filter, particle filter, Extended Kalman..",42.0,30,True,,,5.0,filterpy,conda-forge/filterpy,,,,1457.0,1457.0,https://pypi.org/project/filterpy,696664.0,698432.0,https://anaconda.org/conda-forge/filterpy,2020-05-05 21:13:59.073,106137.0,,,,,2.0,,,,,,,,,,,,,,,
242,pytorch-forecasting,jdb78/pytorch-forecasting,time-series-data,,https://github.com/jdb78/pytorch-forecasting,https://github.com/jdb78/pytorch-forecasting,MIT,2020-07-03 13:05:24.000,2022-06-15 19:40:07.000000,2022-06-15 19:39:55,1412,216.0,322.0,31.0,561.0,222.0,250.0,2022,Time series forecasting with PyTorch.,30.0,30,True,2022-05-23 11:53:09,0.10.2,29.0,pytorch-forecasting,conda-forge/pytorch-forecasting,,,,,,https://pypi.org/project/pytorch-forecasting,65972.0,66938.0,https://anaconda.org/conda-forge/pytorch-forecasting,2022-05-23 16:56:34.706,20289.0,,,,,2.0,,,,,,,,,,,,,,,
243,shapash,MAIF/shapash,interpretability,,https://github.com/MAIF/shapash,https://github.com/MAIF/shapash,Apache-2.0,2020-04-29 07:34:23.000,2022-06-13 07:08:07.000000,2022-05-09 07:42:07,1123,104.0,237.0,39.0,229.0,17.0,100.0,1874,Shapash makes Machine Learning models transparent and understandable by everyone.,34.0,30,True,2022-05-09 08:18:08,2.0.1,16.0,shapash,,,,['jupyter'],74.0,74.0,https://pypi.org/project/shapash,19393.0,19393.0,,,,,,,,2.0,,,,,,,,,,,,,,,
244,kmodes,nicodv/kmodes,others,,https://github.com/nicodv/kmodes,https://github.com/nicodv/kmodes,MIT,2013-08-01 11:54:40.000,2022-05-09 05:22:13.000000,2022-05-09 05:22:09,514,12.0,369.0,53.0,34.0,15.0,131.0,1021,"Python implementations of the k-modes and k-prototypes clustering algorithms, for clustering categorical data.",21.0,30,True,2022-04-14 21:25:10,0.12.1,10.0,kmodes,conda-forge/kmodes,,,,1248.0,1248.0,https://pypi.org/project/kmodes,374296.0,374681.0,https://anaconda.org/conda-forge/kmodes,2022-04-15 01:12:43.970,10034.0,,,,,2.0,,,,,,,,,,,,,,,
245,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2022-06-15 09:43:44.000000,2022-06-08 20:54:34,1906,37.0,216.0,33.0,137.0,36.0,363.0,978,Python interface for igraph.,60.0,30,False,2022-06-08 20:43:44,0.9.11,16.0,python-igraph,conda-forge/igraph,,,,708.0,708.0,https://pypi.org/project/python-igraph,255771.0,266601.0,https://anaconda.org/conda-forge/igraph,2022-06-13 09:43:51.605,294617.0,,,,,1.0,415725.0,,,,,,,,,,,,,,
246,adapter-transformers,Adapter-Hub/adapter-transformers,others,,https://github.com/adapter-hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,Apache-2.0,2020-04-21 16:21:43.000,2022-06-15 09:28:32.000000,2022-06-15 09:13:40,10378,524.0,139.0,14.0,179.0,60.0,130.0,865,Huggingface Transformers + Adapters =.,1316.0,30,True,2022-05-18 08:48:09,adapters3.0.1,11.0,adapter-transformers,,,,['huggingface'],77.0,77.0,https://pypi.org/project/adapter-transformers,42808.0,42808.0,,,,,,,,2.0,,,,,,,,,,,,,,,
247,Satpy,pytroll/satpy,geospatial-data,,https://github.com/pytroll/satpy,https://github.com/pytroll/satpy,GPL-3.0,2016-02-09 20:29:43.000,2022-06-14 20:04:06.000000,2022-06-13 22:38:48,10194,319.0,235.0,32.0,1364.0,296.0,466.0,839,Python package for earth-observing satellite data processing.,122.0,30,False,2022-04-14 07:42:13,0.36.0,46.0,satpy,conda-forge/satpy,,,,70.0,70.0,https://pypi.org/project/satpy,1554.0,3511.0,https://anaconda.org/conda-forge/satpy,2022-04-14 11:56:29.017,92017.0,,,,,3.0,,,,,,,,,,,,,,,
248,hvPlot,holoviz/hvplot,data-viz,,https://github.com/holoviz/hvplot,https://github.com/holoviz/hvplot,BSD-3-Clause,2018-03-19 14:22:41.000,2022-06-03 23:31:31.000000,2022-05-30 14:33:26,478,35.0,69.0,21.0,305.0,143.0,279.0,571,"A high-level plotting API for pandas, dask, xarray, and networkx built on HoloViews.",36.0,30,True,2022-05-09 22:03:14,0.8.0,12.0,hvplot,conda-forge/hvplot,,,,1356.0,1356.0,https://pypi.org/project/hvplot,126472.0,130426.0,https://anaconda.org/conda-forge/hvplot,2022-05-09 16:16:22.098,181899.0,,,,,2.0,,,,,,,,,,,,,,,
