,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
188,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2022-07-16 23:29:49.000000,2022-06-30 00:44:41,1409.0,2.0,3511.0,782.0,1116.0,309.0,579.0,17770,Magenta: Music and Art Generation with Machine Intelligence.,152.0,31,True,2020-09-08 13:05:49,2.1.2,47.0,magenta,,['tensorflow'],,6201.0,374.0,374.0,https://pypi.org/project/magenta,6201.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
189,Pydub,jiaaro/pydub,audio,,https://github.com/jiaaro/pydub,https://github.com/jiaaro/pydub,MIT,2011-05-02 18:42:38.000,2022-07-02 13:31:49.000000,2022-05-14 13:22:02,743.0,1.0,835.0,125.0,190.0,228.0,261.0,6268,Manipulate audio with a simple and easy high level interface.,92.0,31,True,2021-03-10 02:10:41,0.25.1,31.0,pydub,conda-forge/pydub,,,1389212.0,13386.0,13386.0,https://pypi.org/project/pydub,1388599.0,https://anaconda.org/conda-forge/pydub,2021-03-13 05:16:50.142,26384.0,2.0,,,,,,,,,,,,,,,,,,,,
190,stanza,stanfordnlp/stanza,nlp,,https://github.com/stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,,2017-09-26 08:00:56.000,2022-07-28 06:11:34.000000,2022-04-23 04:36:46,2654.0,,783.0,143.0,367.0,77.0,629.0,6228,Official Stanford NLP Python Library for Many Human Languages.,48.0,31,False,2022-04-23 06:01:01,1.4.0,13.0,stanza,stanfordnlp/stanza,,,470907.0,1156.0,1156.0,https://pypi.org/project/stanza,470713.0,https://anaconda.org/stanfordnlp/stanza,2022-04-23 06:42:39.551,5447.0,2.0,,,,,,,,,,,,,,,,,,,,
191,tensorpack,tensorpack/tensorpack,ml-frameworks,,https://github.com/tensorpack/tensorpack,https://github.com/tensorpack/tensorpack,Apache-2.0,2015-12-25 23:08:44.000,2022-05-04 12:19:58.000000,2022-05-04 12:19:51,2939.0,2.0,1804.0,201.0,205.0,14.0,1333.0,6224,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility.",58.0,31,True,2019-01-18 19:18:13,doc-v0.9.0.1,3.0,tensorpack,conda-forge/tensorpack,['tensorflow'],133.0,15163.0,1062.0,1062.0,https://pypi.org/project/tensorpack,14889.0,https://anaconda.org/conda-forge/tensorpack,2022-02-06 19:35:57.930,2454.0,3.0,,,,,,,,,,,,,,,,,,,,
192,Metaflow,Netflix/metaflow,ml-experiments,,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25.000,2022-07-27 21:22:16.000000,2022-07-26 21:05:27,530.0,33.0,493.0,241.0,678.0,181.0,231.0,5829,Build and manage real-life data science projects with ease!.,53.0,31,True,2022-07-14 16:38:14,2.7.2,51.0,metaflow,conda-forge/metaflow,,,50447.0,301.0,301.0,https://pypi.org/project/metaflow,48650.0,https://anaconda.org/conda-forge/metaflow,2022-06-23 02:29:35.492,55727.0,2.0,,,,,,,,,,,,,,,,,,,,
193,Tokenizers,huggingface/tokenizers,nlp,,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20.000,2022-07-26 15:45:09.000000,2022-07-22 07:00:14,1584.0,6.0,481.0,104.0,393.0,189.0,452.0,5786,Fast State-of-the-Art Tokenizers optimized for Research and Production.,58.0,31,True,2022-03-31 13:07:30,node-v0.12.0,58.0,tokenizers,conda-forge/tokenizers,,,5433457.0,49.0,49.0,https://pypi.org/project/tokenizers,5421816.0,https://anaconda.org/conda-forge/tokenizers,2022-05-21 19:32:48.700,279406.0,2.0,,,,,,,,,,,,,,,,,,,,
194,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2022-07-27 17:51:57.000000,2022-02-09 16:15:17,2589.0,,1984.0,167.0,861.0,90.0,1222.0,5670,Open Source Neural Machine Translation in PyTorch.,174.0,31,True,2021-09-14 08:48:31,2.2.0,32.0,OpenNMT-py,,['pytorch'],,4761.0,146.0,146.0,https://pypi.org/project/OpenNMT-py,4761.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
195,AutoGluon,awslabs/autogluon,hyperopt,,https://github.com/awslabs/autogluon,https://github.com/awslabs/autogluon,Apache-2.0,2019-07-29 18:51:24.000,2022-07-28 08:28:46.000000,2022-07-27 22:14:17,1038.0,189.0,605.0,88.0,1143.0,146.0,571.0,4669,"AutoGluon: AutoML for Image, Text, and Tabular Data.",80.0,31,True,2022-07-19 03:46:32,0.5.1,19.0,autogluon,,['mxnet'],,61169.0,153.0,153.0,https://pypi.org/project/autogluon,61169.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
196,huey,coleifer/huey,data-pipelines,,https://github.com/coleifer/huey,https://github.com/coleifer/huey,MIT,2011-11-03 16:39:43.000,2022-07-23 13:11:00.000000,2022-07-15 13:10:45,945.0,10.0,342.0,83.0,164.0,,516.0,4156,a little task queue for python.,66.0,31,True,2021-11-28 15:46:21,2.4.2,44.0,huey,conda-forge/huey,,,142851.0,974.0,974.0,https://pypi.org/project/huey,142361.0,https://anaconda.org/conda-forge/huey,2019-10-16 15:34:27.487,25036.0,2.0,,,,,,,,,,,,,,,,,,,,
197,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2022-07-28 08:57:39.000000,2022-07-28 08:53:56,3382.0,88.0,381.0,77.0,349.0,4.0,368.0,3500,Online machine learning in Python.,81.0,31,True,2022-06-06 21:34:22,0.11.1,4.0,river,conda-forge/river,,,9446.0,147.0,147.0,https://pypi.org/project/river,8712.0,https://anaconda.org/conda-forge/river,2021-12-09 16:10:41.029,11022.0,2.0,,,,,,,,,,,,,,,,,,,,
198,Dedupe,dedupeio/dedupe,nlp,,https://github.com/dedupeio/dedupe,https://github.com/dedupeio/dedupe,MIT,2012-04-20 14:57:36.000,2022-07-25 02:17:37.000000,2022-07-06 23:23:02,3129.0,161.0,461.0,121.0,318.0,52.0,704.0,3460,"A python library for accurate and scalable fuzzy matching, record deduplication and entity-resolution.",64.0,31,True,,,9.0,dedupe,conda-forge/dedupe,,,324265.0,233.0,233.0,https://pypi.org/project/dedupe,323068.0,https://anaconda.org/conda-forge/dedupe,2022-07-07 14:57:18.986,8380.0,2.0,,,,,,,,,,,,,,,,,,,,
199,nlpaug,makcedward/nlpaug,nlp,,https://github.com/makcedward/nlpaug,https://github.com/makcedward/nlpaug,MIT,2019-03-21 03:00:17.000,2022-07-07 14:36:25.115000,2022-07-07 05:16:43,738.0,16.0,383.0,37.0,120.0,34.0,152.0,3407,Data augmentation for NLP.,33.0,31,True,2022-07-07 05:24:14,1.1.11,25.0,nlpaug,conda-forge/nlpaug,,,80942.0,376.0,376.0,https://pypi.org/project/nlpaug,80677.0,https://anaconda.org/conda-forge/nlpaug,2022-07-07 14:36:25.115,3454.0,2.0,,,,,,,,,,,,,,,,,,,,
200,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2022-07-28 14:00:49.000000,2022-07-28 01:53:42,942.0,18.0,343.0,211.0,623.0,90.0,286.0,3327,Model interpretability and understanding for PyTorch.,86.0,31,True,2022-03-04 00:37:56,0.5.0,7.0,captum,conda-forge/captum,['pytorch'],,47619.0,611.0,611.0,https://pypi.org/project/captum,47302.0,https://anaconda.org/conda-forge/captum,2022-03-04 22:07:02.170,2223.0,1.0,,,,,,,,,,,,,,,,,,,,
201,dyNET,clab/dynet,ml-frameworks,,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000,2022-06-21 21:18:30.000000,2022-03-11 14:08:21,3271.0,,672.0,187.0,732.0,257.0,665.0,3309,DyNet: The Dynamic Neural Network Toolkit.,159.0,31,True,2020-10-21 13:39:07,2.1.2,9.0,dyNET,,,6510.0,21015.0,217.0,217.0,https://pypi.org/project/dyNET,20921.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
202,Core ML Tools,apple/coremltools,model-serialisation,,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000,2022-07-28 12:35:11.000000,2022-07-26 16:10:03,949.0,19.0,413.0,105.0,597.0,272.0,691.0,2799,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",124.0,31,True,2022-02-22 22:36:08,5.2,27.0,coremltools,conda-forge/coremltools,,4320.0,77407.0,973.0,973.0,https://pypi.org/project/coremltools,75703.0,https://anaconda.org/conda-forge/coremltools,2021-10-15 05:58:32.248,34247.0,1.0,,,,,,,,,,,,,,,,,,,,
203,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2022-07-28 00:06:13.000000,2022-07-27 13:27:31,1738.0,173.0,156.0,33.0,1393.0,119.0,471.0,2645,Aim easy-to-use and performant open-source ML experiment tracker.,40.0,31,True,2022-07-22 19:08:10,3.12.0,31.0,aim,conda-forge/aim,,,58674.0,93.0,93.0,https://pypi.org/project/aim,57409.0,https://anaconda.org/conda-forge/aim,2021-10-15 14:36:27.336,15185.0,2.0,,,,,,,,,,,,,,,,,,,,
204,mrjob,Yelp/mrjob,data-pipelines,,https://github.com/Yelp/mrjob,https://github.com/Yelp/mrjob,Apache-2.0,2010-10-13 18:35:21.000,2022-07-14 07:58:49.000000,2020-11-16 22:20:52,8622.0,,576.0,111.0,920.0,204.0,1093.0,2584,Run MapReduce jobs on Hadoop or Amazon Web Services.,142.0,31,False,,,13.0,mrjob,conda-forge/mrjob,,,83386.0,1033.0,1033.0,https://pypi.org/project/mrjob,76553.0,https://anaconda.org/conda-forge/mrjob,2022-02-06 18:33:13.189,478310.0,2.0,,,,,,,,,,,,,,,,,,,,
205,hmmlearn,hmmlearn/hmmlearn,probabilistics,,https://github.com/hmmlearn/hmmlearn,https://github.com/hmmlearn/hmmlearn,BSD-3-Clause,2014-03-23 10:33:09.000,2022-07-24 03:40:24.000000,2022-07-04 21:48:21,421.0,10.0,662.0,115.0,97.0,51.0,335.0,2555,"Hidden Markov Models in Python, with scikit-learn like API.",41.0,31,True,2021-02-03 14:33:20,0.2.5,8.0,hmmlearn,conda-forge/hmmlearn,['sklearn'],,121854.0,1340.0,1340.0,https://pypi.org/project/hmmlearn,118923.0,https://anaconda.org/conda-forge/hmmlearn,2022-02-12 03:10:38.209,128997.0,2.0,,,,,,,,,,,,,,,,,,,,
206,filterpy,rlabbe/filterpy,probabilistics,,https://github.com/rlabbe/filterpy,https://github.com/rlabbe/filterpy,MIT,2014-07-15 02:15:19.000,2022-07-07 17:37:13.000000,2022-07-07 17:37:13,581.0,16.0,508.0,72.0,71.0,46.0,157.0,2330,"Python Kalman filtering and optimal estimation library. Implements Kalman filter, particle filter, Extended Kalman..",43.0,31,True,,,5.0,filterpy,conda-forge/filterpy,,,731538.0,1541.0,1541.0,https://pypi.org/project/filterpy,729596.0,https://anaconda.org/conda-forge/filterpy,2020-05-05 21:13:59.073,118504.0,2.0,,,,,,,,,,,,,,,,,,,,
207,HoloViews,holoviz/holoviews,data-viz,,https://github.com/holoviz/holoviews,https://github.com/holoviz/holoviews,BSD-3-Clause,2014-05-07 16:59:22.000,2022-07-26 15:28:29.000000,2022-07-26 15:28:28,10355.0,44.0,348.0,59.0,2540.0,863.0,1937.0,2232,"With Holoviews, your data visualizes itself.",122.0,31,True,2022-07-11 12:41:38,1.15.0,66.0,holoviews,conda-forge/holoviews,['jupyter'],,383018.0,,,https://pypi.org/project/holoviews,371090.0,https://anaconda.org/conda-forge/holoviews,2022-07-07 21:07:13.582,804297.0,2.0,,@pyviz/jupyterlab_pyviz,https://www.npmjs.com/package/@pyviz/jupyterlab_pyviz,1060.0,,,,,,,,,,,,,,,,
208,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/deepmind/dm-haiku,https://github.com/deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2022-07-27 19:45:17.000000,2022-07-27 19:45:12,778.0,56.0,157.0,36.0,308.0,47.0,134.0,2068,JAX-based neural network library.,62.0,31,True,2022-07-04 18:49:07,0.0.7,9.0,dm-haiku,conda-forge/dm-haiku,,,110444.0,515.0,515.0,https://pypi.org/project/dm-haiku,110191.0,https://anaconda.org/conda-forge/dm-haiku,2022-07-04 19:09:56.818,4310.0,3.0,,,,,,,,,,,,,,,,,,,,
209,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2022-07-28 14:19:28.000000,2022-07-28 08:31:18,1560.0,148.0,435.0,66.0,1953.0,144.0,487.0,1783,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",163.0,31,True,2022-06-28 16:47:28,0.12.0,19.0,torchaudio,,['pytorch'],,704163.0,,,https://pypi.org/project/torchaudio,704163.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
210,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,LGPL-3.0,2012-08-03 07:43:59.000,2022-07-05 18:31:00.000000,2022-07-05 18:31:00,2623.0,17.0,321.0,58.0,989.0,290.0,783.0,1078,Cartopy - a cartographic python library with matplotlib support.,112.0,31,False,2022-06-29 03:06:31,0.20.3,21.0,cartopy,conda-forge/cartopy,,,163964.0,2523.0,2523.0,https://pypi.org/project/cartopy,134499.0,https://anaconda.org/conda-forge/cartopy,2022-07-03 10:38:43.443,2239377.0,2.0,,,,,,,,,,,,,,,,,,,,
211,adapter-transformers,Adapter-Hub/adapter-transformers,others,,https://github.com/adapter-hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,Apache-2.0,2020-04-21 16:21:43.000,2022-07-28 08:43:46.000000,2022-07-26 16:30:07,10391.0,145.0,156.0,14.0,189.0,50.0,160.0,920,Huggingface Transformers + Adapters =.,1317.0,31,True,2022-05-18 08:48:09,adapters3.0.1,11.0,adapter-transformers,,['huggingface'],,46368.0,79.0,79.0,https://pypi.org/project/adapter-transformers,46368.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
212,tensorflow-upstream,ROCmSoftwarePlatform/tensorflow-upstream,ml-frameworks,,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,Apache-2.0,2018-04-09 21:24:50.000,2022-07-27 20:02:45.000000,2022-07-26 23:08:15,136066.0,3976.0,71.0,48.0,1443.0,53.0,271.0,599,TensorFlow ROCm port.,4068.0,31,True,2019-10-11 17:16:09,2.0.0-rocm,2.0,tensorflow-rocm,,['tensorflow'],20.0,3680.0,,,https://pypi.org/project/tensorflow-rocm,3680.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
213,InsightFace,deepinsight/insightface,image,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,MIT,2017-09-01 00:36:51.000,2022-07-13 09:17:42.000000,2022-07-13 09:17:42,2066.0,35.0,3846.0,459.0,119.0,1072.0,869.0,12304,State-of-the-art 2D and 3D Face Analysis Project.,45.0,30,True,,,,insightface,,['mxnet'],,18991.0,177.0,177.0,https://pypi.org/project/insightface,18991.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
214,TFlearn,tflearn/tflearn,ml-frameworks,,https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn,,2016-03-31 12:05:53.000,2021-01-25 09:41:59.000000,2020-11-30 04:34:51,613.0,,2321.0,465.0,255.0,548.0,362.0,9577,Deep learning library featuring a higher-level API for TensorFlow.,128.0,30,False,2020-11-11 19:26:11,0.5.0,8.0,tflearn,,['tensorflow'],,16941.0,4012.0,4012.0,https://pypi.org/project/tflearn,16941.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
215,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23.000,2022-07-28 11:23:26.000000,2021-11-19 11:13:47,5439.0,,2332.0,237.0,1194.0,597.0,3340.0,8041,Open-source simulator for autonomous driving research.,138.0,30,False,2021-11-16 19:51:12,0.9.13,24.0,carla,,,,13210.0,214.0,214.0,https://pypi.org/project/carla,13210.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
216,pysc2,deepmind/pysc2,others,,https://github.com/deepmind/pysc2,https://github.com/deepmind/pysc2,Apache-2.0,2017-07-25 18:16:57.000,2022-07-13 11:53:39.000000,2022-07-13 11:51:16,570.0,17.0,1118.0,358.0,74.0,46.0,221.0,7548,StarCraft II Learning Environment.,36.0,30,True,2022-07-13 12:08:43,4.0,6.0,pysc2,,,28922.0,6142.0,409.0,409.0,https://pypi.org/project/pysc2,5652.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
217,Hyperopt,hyperopt/hyperopt,hyperopt,,https://github.com/hyperopt/hyperopt,https://github.com/hyperopt/hyperopt,,2011-09-06 22:24:59.000,2022-07-12 10:19:09.000000,2021-11-29 10:21:36,1194.0,,858.0,128.0,257.0,369.0,235.0,6322,Distributed Asynchronous Hyperparameter Optimization in Python.,93.0,30,False,,,7.0,hyperopt,conda-forge/hyperopt,,,1982651.0,7202.0,7202.0,https://pypi.org/project/hyperopt,1972539.0,https://anaconda.org/conda-forge/hyperopt,2022-04-30 16:43:00.797,465196.0,2.0,,,,,,,,,,,,,,,,,,,,
218,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2022-07-28 14:04:15.000000,2022-07-27 22:20:07,31060.0,212.0,1875.0,396.0,6193.0,,,5906,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",227.0,30,True,,,,h2o,,,,507857.0,,,https://pypi.org/project/h2o,507857.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
219,FinRL,AI4Finance-Foundation/FinRL,reinforcement-learning,,https://github.com/AI4Finance-Foundation/FinRL,https://github.com/AI4Finance-Foundation/FinRL,MIT,2020-07-26 13:18:16.000,2022-07-28 12:50:29.000000,2022-07-27 14:18:07,2455.0,419.0,1325.0,157.0,213.0,42.0,380.0,5844,FinRL: The first open-source project for financial reinforcement learning. Please star.,73.0,30,True,2022-06-26 01:52:35,0.3.5,1.0,finrl,,,,283.0,14.0,14.0,https://pypi.org/project/finrl,283.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
220,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2022-07-27 15:14:57.000000,2022-05-31 12:00:18,2615.0,1.0,1030.0,210.0,965.0,54.0,565.0,5811,An open source library for deep learning end-to-end dialog systems and chatbots.,67.0,30,True,2022-05-31 12:02:13,0.17.4,51.0,deeppavlov,,['tensorflow'],,9473.0,274.0,274.0,https://pypi.org/project/deeppavlov,9473.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
221,DoWhy,Microsoft/dowhy,interpretability,,https://github.com/py-why/dowhy,https://github.com/py-why/dowhy,MIT,2018-05-31 13:07:04.000,2022-07-28 14:16:17.000000,2022-07-28 12:22:27,625.0,132.0,685.0,131.0,324.0,75.0,166.0,5067,DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions...,56.0,30,True,2022-07-18 18:24:37,0.8,9.0,dowhy,conda-forge/dowhy,,31.0,164706.0,120.0,120.0,https://pypi.org/project/dowhy,164422.0,https://anaconda.org/conda-forge/dowhy,2022-07-19 11:17:50.796,7385.0,2.0,,,,,,,,,,,,py-why/dowhy,,,,,,,,
222,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2022-07-28 14:23:57.000000,2022-07-28 12:34:25,35383.0,362.0,624.0,135.0,6667.0,599.0,4095.0,4891,cuDF - GPU DataFrame Library.,248.0,30,True,2022-07-06 15:21:43,22.06.01,25.0,cudf,,,,1873.0,,,https://pypi.org/project/cudf,1873.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
223,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2022-06-23 03:15:35.000000,2022-01-22 18:26:24,2187.0,,974.0,198.0,195.0,202.0,259.0,4766,Distributed Evolutionary Algorithms in Python.,78.0,30,False,,,4.0,deap,conda-forge/deap,,,187231.0,2788.0,2788.0,https://pypi.org/project/deap,184584.0,https://anaconda.org/conda-forge/deap,2022-04-11 15:37:59.925,193289.0,2.0,,,,,,,,,,,,,,,,,,,,
224,Perspective,finos/perspective,data-viz,,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2022-07-28 00:38:25.000000,2022-07-27 20:13:54,5298.0,157.0,476.0,103.0,1299.0,71.0,463.0,4760,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",72.0,30,True,,,22.0,perspective-python,conda-forge/perspective,['jupyter'],,8601.0,264.0,264.0,https://pypi.org/project/perspective-python,3241.0,https://anaconda.org/conda-forge/perspective,2022-07-20 15:06:31.237,108035.0,2.0,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,1039.0,,,,,,,,,,,,,,,,
225,NeMo,NVIDIA/NeMo,nlp,,https://github.com/NVIDIA/NeMo,https://github.com/NVIDIA/NeMo,Apache-2.0,2019-08-05 20:16:42.000,2022-07-28 13:32:22.000000,2022-07-28 07:33:26,4534.0,182.0,1057.0,129.0,3129.0,33.0,1143.0,4523,NeMo: a toolkit for conversational AI.,160.0,30,True,2022-07-01 22:14:42,1.10.0,32.0,nemo-toolkit,,['pytorch'],12162.0,16732.0,,,https://pypi.org/project/nemo-toolkit,16375.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
226,imutils,PyImageSearch/imutils,image,,https://github.com/PyImageSearch/imutils,https://github.com/PyImageSearch/imutils,MIT,2015-01-11 20:05:39.000,2022-06-15 11:40:59.000000,2022-01-27 13:24:16,139.0,,976.0,151.0,108.0,88.0,77.0,4138,"A series of convenience functions to make basic image processing operations such as translation, rotation, resizing,..",21.0,30,True,,,3.0,imutils,conda-forge/imutils,,,310155.0,26802.0,26802.0,https://pypi.org/project/imutils,307627.0,https://anaconda.org/conda-forge/imutils,2021-12-09 01:25:49.387,93544.0,2.0,,,,,,,,,,,,,,,,,,,,
227,sacred,IDSIA/sacred,ml-experiments,,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29.000,2022-07-28 13:49:03.000000,2022-06-27 07:15:21,1320.0,2.0,344.0,75.0,343.0,89.0,449.0,3874,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",98.0,30,True,2022-03-28 13:51:55,0.8.3,11.0,sacred,conda-forge/sacred,,,35688.0,1458.0,1458.0,https://pypi.org/project/sacred,35569.0,https://anaconda.org/conda-forge/sacred,2021-11-14 09:49:23.948,953.0,2.0,,,,,,,,,,,,,,,,,,,,
228,ArrayFire,arrayfire/arrayfire,gpu-utilities,,https://github.com/arrayfire/arrayfire,https://github.com/arrayfire/arrayfire,BSD-3-Clause,2014-10-28 20:58:33.000,2022-07-23 21:10:02.000000,2022-07-09 02:02:37,5841.0,23.0,489.0,153.0,1745.0,245.0,1286.0,3868,ArrayFire: a general purpose GPU library.,81.0,30,True,2022-05-19 15:14:26,3.8.2,32.0,arrayfire,,,2516.0,80906.0,,,https://pypi.org/project/arrayfire,80877.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
229,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-07-24 14:49:07.000000,2022-07-24 14:48:08,614.0,22.0,288.0,66.0,214.0,43.0,429.0,3550,Visualizer for pandas data structures.,27.0,30,True,2022-06-17 17:53:49,2.6.0,111.0,dtale,conda-forge/dtale,"['pandas', 'jupyter']",,82762.0,426.0,426.0,https://pypi.org/project/dtale,78041.0,https://anaconda.org/conda-forge/dtale,2022-06-17 18:17:38.395,136928.0,2.0,,,,,,,,,,,,,,,,,,,,
230,AzureML SDK,Azure/MachineLearningNotebooks,ml-experiments,,https://github.com/Azure/MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,MIT,2018-08-17 17:29:14.000,2022-07-07 15:37:35.000000,2022-07-07 15:37:35,1213.0,18.0,2123.0,2053.0,483.0,265.0,1031.0,3337,Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft.,60.0,30,True,2019-08-29 17:25:28,80469,28.0,azureml-sdk,,,461.0,1239788.0,,,https://pypi.org/project/azureml-sdk,1239778.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
231,missingno,ResidentMario/missingno,data-viz,,https://github.com/ResidentMario/missingno,https://github.com/ResidentMario/missingno,MIT,2016-03-27 15:18:50.000,2022-02-27 20:46:03.000000,2022-02-27 20:46:03,186.0,,406.0,69.0,36.0,7.0,114.0,3251,Missing data visualization module for Python.,17.0,30,True,2022-02-27 20:38:13,0.5.1,5.0,missingno,conda-forge/missingno,,,1054396.0,8057.0,8057.0,https://pypi.org/project/missingno,1051247.0,https://anaconda.org/conda-forge/missingno,2020-02-15 10:07:41.253,188960.0,2.0,,,,,,,,,,,,,,,,,,,,
232,torchtext,pytorch/text,nlp,,https://github.com/pytorch/text,https://github.com/pytorch/text,BSD-3-Clause,2016-12-12 00:56:03.000,2022-07-28 13:58:31.000000,2022-07-25 16:16:41,1141.0,93.0,696.0,262.0,1190.0,225.0,445.0,3059,Data loaders and abstractions for text and NLP.,132.0,30,True,2022-06-28 16:47:30,0.13.0,19.0,torchtext,,['pytorch'],,221081.0,,,https://pypi.org/project/torchtext,221081.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
233,VisPy,vispy/vispy,data-viz,,https://github.com/vispy/vispy,https://github.com/vispy/vispy,,2013-03-21 18:43:22.000,2022-07-28 09:24:46.000000,2022-07-27 21:34:54,6960.0,28.0,582.0,124.0,1051.0,263.0,1047.0,2908,High-performance interactive 2D/3D data visualization library.,175.0,30,False,2022-07-04 15:33:11,0.11.0,29.0,vispy,conda-forge/vispy,['jupyter'],,46735.0,808.0,808.0,https://pypi.org/project/vispy,42214.0,https://anaconda.org/conda-forge/vispy,2022-07-05 16:41:32.117,257468.0,2.0,,vispy,https://www.npmjs.com/package/vispy,5.0,,,,,,,,,,,,,,,,
