,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,maven_id,maven_url,dnf_id,yay_id,snap_id
216,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,https://github.com/bayesian-optimization/BayesianOptimization,https://github.com/bayesian-optimization/BayesianOptimization,MIT,2014-06-06 08:18:56.000,2023-09-06 17:59:25.000000,2023-07-14 06:46:40,354.0,1.0,1401.0,133.0,123.0,12.0,307.0,6979.0,A Python implementation of global optimization with gaussian processes.,41.0,31,True,2023-04-25 21:59:23,1.4.3,13.0,bayesian-optimization,,,,,2067.0,2067.0,https://pypi.org/project/bayesian-optimization,205344.0,205345.0,,,,,,,,2.0,133.0,,bayesian-optimization/BayesianOptimization,,,,,,,,,,,,
217,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2023-09-05 06:03:15.000000,2023-08-17 07:21:00,2693.0,8.0,1105.0,210.0,1030.0,18.0,611.0,6338.0,An open source library for deep learning end-to-end dialog systems and chatbots.,76.0,31,True,2023-08-17 07:23:20,1.3.0,60.0,deeppavlov,,,,['tensorflow'],358.0,358.0,https://pypi.org/project/deeppavlov,7774.0,7774.0,,,,,,,,2.0,,,deeppavlov/DeepPavlov,,,,,,,,,,,,
218,Darts,unit8co/darts,time-series-data,,https://github.com/unit8co/darts,https://github.com/unit8co/darts,Apache-2.0,2018-09-13 15:17:28.000,2023-09-14 10:20:02.000000,2023-09-14 10:18:49,1081.0,58.0,712.0,56.0,837.0,228.0,926.0,6321.0,A python library for user-friendly forecasting and anomaly detection on time series.,103.0,31,True,2023-08-04 15:09:13,0.25.0,36.0,u8darts,conda-forge/u8darts-all,unit8/darts,,,358.0,358.0,https://pypi.org/project/u8darts,11047.0,12399.0,https://anaconda.org/conda-forge/u8darts-all,2023-08-07 19:08:54.536,34996.0,https://hub.docker.com/r/unit8/darts,2023-08-04 15:26:31.586999,,398.0,2.0,,,,,,,,,,,,,,,
219,tensorpack,tensorpack/tensorpack,ml-frameworks,,https://github.com/tensorpack/tensorpack,https://github.com/tensorpack/tensorpack,Apache-2.0,2015-12-25 23:08:44.000,2023-08-06 00:30:36.000000,2023-08-06 00:30:36,2944.0,1.0,1813.0,201.0,206.0,9.0,1343.0,6283.0,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility.",58.0,31,True,2019-01-18 19:18:13,doc-v0.9.0.1,3.0,tensorpack,conda-forge/tensorpack,,,['tensorflow'],1356.0,1356.0,https://pypi.org/project/tensorpack,14046.0,14477.0,https://anaconda.org/conda-forge/tensorpack,2023-06-16 19:27:42.012,9883.0,,,,,3.0,158.0,,,,,,,,,,,,,,
220,DoWhy,Microsoft/dowhy,interpretability,,https://github.com/py-why/dowhy,https://github.com/py-why/dowhy,MIT,2018-05-31 13:07:04.000,2023-09-11 05:33:00.000000,2023-09-04 05:50:16,913.0,48.0,850.0,138.0,593.0,115.0,286.0,6135.0,DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions...,81.0,31,True,2023-09-05 04:59:40,0.10.1,13.0,dowhy,conda-forge/dowhy,,,,288.0,288.0,https://pypi.org/project/dowhy,37844.0,38258.0,https://anaconda.org/conda-forge/dowhy,2023-06-16 19:19:18.359,16581.0,,,,,1.0,33.0,,py-why/dowhy,,,,,,,,,,,,
221,pyfolio,quantopian/pyfolio,financial-data,,https://github.com/quantopian/pyfolio,https://github.com/quantopian/pyfolio,Apache-2.0,2015-06-01 15:31:39.000,2023-06-16 16:07:59.111000,2020-07-15 13:46:58,1184.0,,1504.0,307.0,292.0,142.0,265.0,5144.0,Portfolio and risk analytics in Python.,59.0,31,False,2019-04-15 11:38:22,0.9.2,8.0,pyfolio,conda-forge/pyfolio,,,,862.0,862.0,https://pypi.org/project/pyfolio,9656.0,9840.0,https://anaconda.org/conda-forge/pyfolio,2023-06-16 16:07:59.111,12337.0,,,,,1.0,,,,,,,,,,,,,,,
222,huey,coleifer/huey,data-pipelines,,https://github.com/coleifer/huey,https://github.com/coleifer/huey,MIT,2011-11-03 16:39:43.000,2023-08-04 12:50:10.000000,2023-08-04 12:49:43,980.0,11.0,356.0,83.0,170.0,,595.0,4608.0,a little task queue for python.,67.0,31,True,2023-02-09 14:36:55,2.4.5,47.0,huey,conda-forge/huey,,,,1257.0,1257.0,https://pypi.org/project/huey,79141.0,79637.0,https://anaconda.org/conda-forge/huey,2023-06-16 16:09:17.692,32276.0,,,,,2.0,,,,,,,,,,,,,,,
223,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2023-09-14 12:08:22.000000,2023-07-08 00:30:37,1017.0,4.0,429.0,218.0,708.0,153.0,322.0,4154.0,Model interpretability and understanding for PyTorch.,102.0,31,True,2022-12-28 01:14:50,0.6.0,8.0,captum,conda-forge/captum,,,['pytorch'],1420.0,1420.0,https://pypi.org/project/captum,154855.0,155590.0,https://anaconda.org/conda-forge/captum,2023-06-16 19:28:19.191,15440.0,,,,,1.0,,,,,,,,,,,,,,,
224,gpustat,wookayin/gpustat,gpu-utilities,,https://github.com/wookayin/gpustat,https://github.com/wookayin/gpustat,MIT,2016-04-24 10:46:43.000,2023-09-06 04:23:58.000000,2023-08-22 21:52:11,238.0,3.0,238.0,45.0,49.0,25.0,87.0,3531.0,A simple command-line utility for querying and monitoring GPU status.,17.0,31,True,2023-08-22 19:40:33,1.1.1,11.0,gpustat,conda-forge/gpustat,,,,3972.0,3972.0,https://pypi.org/project/gpustat,1297345.0,1304930.0,https://anaconda.org/conda-forge/gpustat,2023-08-23 10:35:25.821,257905.0,,,,,1.0,,,,,,,,,,,,,,,
225,nevergrad,facebookresearch/nevergrad,hyperopt,,https://github.com/facebookresearch/nevergrad,https://github.com/facebookresearch/nevergrad,MIT,2018-11-21 00:33:17.000,2023-09-13 08:31:19.000000,2023-09-05 06:42:10,1057.0,16.0,328.0,62.0,1308.0,85.0,158.0,3523.0,A Python toolbox for performing gradient-free optimization.,49.0,31,True,2023-09-05 06:44:26,0.12.0,26.0,nevergrad,conda-forge/nevergrad,,,,532.0,532.0,https://pypi.org/project/nevergrad,88732.0,89752.0,https://anaconda.org/conda-forge/nevergrad,2023-06-16 19:18:43.339,41841.0,,,,,2.0,,,,,,,,,,,,,,,
226,bqplot,bqplot/bqplot,data-viz,,https://github.com/bqplot/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2023-08-04 08:27:48.000000,2023-07-27 13:38:57,3654.0,13.0,447.0,102.0,1036.0,220.0,367.0,3472.0,Plotting library for IPython/Jupyter notebooks.,64.0,31,True,2023-08-04 08:28:46,0.12.41,62.0,bqplot,conda-forge/bqplot,,,['jupyter'],47.0,47.0,https://pypi.org/project/bqplot,158626.0,194124.0,https://anaconda.org/conda-forge/bqplot,2023-07-12 07:26:23.351,1212763.0,,,,,2.0,,,,bqplot,https://www.npmjs.com/package/bqplot,5179.0,,,,,,,,,
227,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2023-09-13 02:10:15.000000,2023-02-05 22:03:50,437.0,,488.0,63.0,202.0,159.0,146.0,3438.0,Header-only C++/python library for fast approximate nearest neighbors.,65.0,31,True,2023-02-07 20:10:08,0.7.0,8.0,hnswlib,conda-forge/hnswlib,,,,4784.0,4784.0,https://pypi.org/project/hnswlib,801065.0,804359.0,https://anaconda.org/conda-forge/hnswlib,2023-06-28 06:05:30.185,108728.0,,,,,2.0,,,,,,,,,,,,,,,
228,dyNET,clab/dynet,ml-frameworks,,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000,2022-11-22 09:59:24.000000,2022-08-14 17:11:42,3272.0,,675.0,185.0,733.0,262.0,669.0,3383.0,DyNet: The Dynamic Neural Network Toolkit.,160.0,31,False,2020-10-21 13:39:07,2.1.2,9.0,dyNET,,,,,250.0,250.0,https://pypi.org/project/dyNET,64854.0,65004.0,,,,,,,,3.0,12514.0,,,,,,,,,,,,,,
229,implicit,benfred/implicit,recommender-systems,,https://github.com/benfred/implicit,https://github.com/benfred/implicit,MIT,2016-04-17 03:45:23.000,2023-08-26 05:25:47.571000,2023-08-25 17:11:59,428.0,9.0,578.0,81.0,221.0,73.0,393.0,3259.0,Fast Python Collaborative Filtering for Implicit Feedback Datasets.,34.0,31,True,2023-08-25 17:45:29,0.7.1,16.0,implicit,conda-forge/implicit,,,,1109.0,1109.0,https://pypi.org/project/implicit,121891.0,136539.0,https://anaconda.org/conda-forge/implicit,2023-08-26 05:25:47.571,526342.0,,,,,1.0,575.0,,,,,,,,,,,,,,
230,pomegranate,jmschrei/pomegranate,probabilistics,,https://github.com/jmschrei/pomegranate,https://github.com/jmschrei/pomegranate,MIT,2014-11-24 18:36:58.000,2023-09-07 11:32:40.942000,2023-08-26 23:30:34,979.0,10.0,561.0,101.0,330.0,23.0,708.0,3164.0,"Fast, flexible and easy to use probabilistic modelling in Python.",71.0,31,True,2023-04-16 07:29:15,1.0.0,9.0,pomegranate,conda-forge/pomegranate,,,,985.0,985.0,https://pypi.org/project/pomegranate,32853.0,36181.0,https://anaconda.org/conda-forge/pomegranate,2023-09-07 11:32:40.942,133125.0,,,,,2.0,,,,,,,,,,,,,,,
231,zenml,zenml-io/zenml,data-pipelines,,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46.000,2023-09-14 14:22:26.000000,2023-09-11 14:44:40,5888.0,155.0,315.0,39.0,1590.0,8.0,194.0,3036.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",75.0,31,True,2023-09-11 15:21:24,0.44.2,77.0,zenml,,,,,168.0,168.0,https://pypi.org/project/zenml,8916.0,8916.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
232,StatsForecast,Nixtla/statsforecast,time-series-data,,https://github.com/Nixtla/statsforecast,https://github.com/Nixtla/statsforecast,Apache-2.0,2021-11-24 02:19:14.000,2023-09-13 18:54:15.000000,2023-08-23 19:10:26,1192.0,34.0,196.0,28.0,353.0,94.0,124.0,2907.0,Lightning fast forecasting with statistical and econometric models.,27.0,31,True,2023-02-28 19:25:43,1.5.0,23.0,statsforecast,conda-forge/statsforecast,,,,453.0,453.0,https://pypi.org/project/statsforecast,455768.0,458482.0,https://anaconda.org/conda-forge/statsforecast,2023-08-25 15:46:41.512,48852.0,,,,,2.0,,,,,,,,,,,,,,,
233,ImageHash,JohannesBuchner/imagehash,image,,https://github.com/JohannesBuchner/imagehash,https://github.com/JohannesBuchner/imagehash,BSD-2-Clause,2013-03-02 23:32:48.000,2023-08-05 13:29:17.000000,2023-08-05 13:28:57,327.0,8.0,316.0,65.0,69.0,7.0,116.0,2830.0,A Python Perceptual Image Hashing Module.,25.0,31,True,2021-03-25 13:49:48,4.1.0,7.0,ImageHash,conda-forge/imagehash,,,,10438.0,10438.0,https://pypi.org/project/ImageHash,1408256.0,1412322.0,https://anaconda.org/conda-forge/imagehash,2023-06-16 13:23:10.041,333484.0,,,,,2.0,,,,,,,,,,,,,,,
234,Keras Tuner,keras-team/keras-tuner,hyperopt,,https://github.com/keras-team/keras-tuner,https://github.com/keras-team/keras-tuner,Apache-2.0,2019-06-06 22:38:21.000,2023-09-13 22:10:26.000000,2023-09-13 21:57:28,1037.0,3.0,371.0,65.0,443.0,197.0,260.0,2770.0,A Hyperparameter Tuning Library for Keras.,58.0,31,True,2023-04-13 04:21:57,1.3.5,23.0,keras-tuner,conda-forge/keras-tuner,,,['tensorflow'],2667.0,2667.0,https://pypi.org/project/keras-tuner,167967.0,168925.0,https://anaconda.org/conda-forge/keras-tuner,2023-06-15 21:56:32.772,23964.0,,,,,2.0,,,,,,,,,,,,,,,
235,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2023-08-28 19:02:47.000000,2023-04-20 03:41:53,699.0,,237.0,37.0,782.0,68.0,281.0,2564.0,PyTorch extensions for high performance and large scale training.,72.0,31,True,2022-12-11 18:09:19,0.4.13,35.0,fairscale,conda-forge/fairscale,,,['pytorch'],2972.0,2972.0,https://pypi.org/project/fairscale,630779.0,637857.0,https://anaconda.org/conda-forge/fairscale,2023-06-16 19:27:50.549,155716.0,,,,,2.0,,,,,,,,,,,,,,,
236,HoloViews,holoviz/holoviews,data-viz,,https://github.com/holoviz/holoviews,https://github.com/holoviz/holoviews,BSD-3-Clause,2014-05-07 16:59:22.000,2023-09-14 10:50:59.000000,2023-09-13 14:14:29,10590.0,73.0,367.0,62.0,2797.0,982.0,2076.0,2493.0,"With Holoviews, your data visualizes itself.",137.0,31,True,2023-08-17 07:08:33,1.17.1,75.0,holoviews,conda-forge/holoviews,,,['jupyter'],,,https://pypi.org/project/holoviews,302706.0,338828.0,https://anaconda.org/conda-forge/holoviews,2023-08-17 07:12:54.422,1378705.0,,,,,2.0,,,,@pyviz/jupyterlab_pyviz,https://www.npmjs.com/package/@pyviz/jupyterlab_pyviz,771.0,,,,,,,,,
237,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2023-09-14 14:11:56.000000,2023-09-14 14:11:56,2898.0,23.0,662.0,79.0,833.0,214.0,608.0,2465.0,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",119.0,31,True,2023-06-30 15:03:26,0.1.23,13.0,pgmpy,,,,,719.0,719.0,https://pypi.org/project/pgmpy,53914.0,53921.0,,,,,,,,2.0,284.0,,,,,,,,,,,,,,
238,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2023-09-14 11:34:33.000000,2023-09-13 22:09:18,2238.0,114.0,567.0,78.0,2766.0,154.0,683.0,2198.0,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",215.0,31,True,2023-05-08 20:03:52,2.0.2,24.0,torchaudio,,,,['pytorch'],,,https://pypi.org/project/torchaudio,1506663.0,1506663.0,,,,,,,,2.0,,,,,,,,,,,,,,,
239,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2023-09-06 23:14:44.712000,2023-09-06 20:08:09,3659.0,23.0,184.0,52.0,1331.0,114.0,702.0,1924.0,Ahead of Time compiler for numeric kernels.,72.0,31,True,,,29.0,pythran,conda-forge/pythran,,,,1177.0,1177.0,https://pypi.org/project/pythran,157201.0,168508.0,https://anaconda.org/conda-forge/pythran,2023-09-06 23:14:44.712,407086.0,,,,,2.0,,,,,,,,,,,,,pythran,python-pythran,
240,adapter-transformers,Adapter-Hub/adapter-transformers,others,,https://github.com/adapter-hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,Apache-2.0,2020-04-21 16:21:43.000,2023-09-14 09:17:42.000000,2023-09-09 10:28:34,12583.0,2.0,284.0,23.0,250.0,59.0,277.0,1857.0,Huggingface Transformers + Adapters =.,1714.0,31,True,2023-04-06 21:17:41,adapters3.2.1,14.0,adapter-transformers,,,,['huggingface'],229.0,229.0,https://pypi.org/project/adapter-transformers,18122.0,18122.0,,,,,,,,2.0,,,,,,,,,,,,,,,
241,pyLDAvis,bmabey/pyLDAvis,interpretability,,https://github.com/bmabey/pyLDAvis,https://github.com/bmabey/pyLDAvis,BSD-3-Clause,2015-04-09 22:48:03.000,2023-07-31 14:46:11.000000,2023-04-24 15:04:32,275.0,,347.0,53.0,77.0,82.0,99.0,1738.0,Python library for interactive topic model visualization. Port of the R LDAvis package.,39.0,31,True,2023-04-23 23:49:39,3.4.1,7.0,pyldavis,conda-forge/pyldavis,,,['jupyter'],5314.0,5314.0,https://pypi.org/project/pyldavis,288889.0,290051.0,https://anaconda.org/conda-forge/pyldavis,2023-06-16 16:08:55.034,73262.0,,,,,1.0,,,,,,,,,,,,,,,
242,lightning-flash,PyTorchLightning/lightning-flash,pytorch-utils,,https://github.com/Lightning-Universe/lightning-flash,https://github.com/Lightning-Universe/lightning-flash,Apache-2.0,2021-01-28 18:47:16.000,2023-09-11 14:50:15.000000,2023-09-11 14:49:24,1147.0,83.0,205.0,36.0,1070.0,25.0,496.0,1706.0,Your PyTorch AI Factory - Flash enables you to easily configure and run complex AI recipes for over 15 tasks across 7..,87.0,31,True,2023-06-30 13:17:42,0.8.2,26.0,lightning-flash,conda-forge/lightning-flash,,,['pytorch'],244.0,244.0,https://pypi.org/project/lightning-flash,2194.0,2806.0,https://anaconda.org/conda-forge/lightning-flash,2023-07-04 02:12:18.993,15314.0,,,,,1.0,,,Lightning-Universe/lightning-flash,,,,,,,,,,,,
243,Geocoder,DenisCarriere/geocoder,geospatial-data,,https://github.com/DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,MIT,2014-01-13 04:19:21.000,2023-06-16 13:21:27.128000,2018-10-12 15:53:05,1251.0,,273.0,52.0,153.0,80.0,218.0,1549.0,Python Geocoder.,73.0,31,False,2016-09-05 17:57:51,1.17.3,18.0,geocoder,conda-forge/geocoder,,,,7634.0,7634.0,https://pypi.org/project/geocoder,429325.0,430975.0,https://anaconda.org/conda-forge/geocoder,2023-06-16 13:21:27.128,130350.0,,,,,2.0,,,,,,,,,,,,,,,geocoder
244,TF Model Optimization,tensorflow/model-optimization,tensorflow-utils,,https://github.com/tensorflow/model-optimization,https://github.com/tensorflow/model-optimization,Apache-2.0,2018-10-31 20:34:28.000,2023-09-14 02:56:44.000000,2023-09-14 00:11:54,814.0,8.0,305.0,123.0,764.0,168.0,163.0,1432.0,"A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning.",82.0,31,True,2023-05-26 02:36:01,0.7.5,20.0,tensorflow-model-optimization,,,,['tensorflow'],3139.0,3139.0,https://pypi.org/project/tensorflow-model-optimization,439104.0,439104.0,,,,,,,,2.0,,,,,,,,,,,,,,,
245,pmdarima,alkaline-ml/pmdarima,time-series-data,,https://github.com/alkaline-ml/pmdarima,https://github.com/alkaline-ml/pmdarima,MIT,2017-03-30 14:58:30.000,2023-08-07 13:28:03.000000,2023-07-03 18:08:53,1073.0,1.0,226.0,35.0,244.0,47.0,268.0,1419.0,"A statistical library designed to fill the void in Pythons time series analysis capabilities, including the equivalent..",22.0,31,True,2023-03-15 20:42:28,2.0.3,43.0,pmdarima,conda-forge/pmdarima,,,,6103.0,6103.0,https://pypi.org/project/pmdarima,1615817.0,1643659.0,https://anaconda.org/conda-forge/pmdarima,2023-06-16 19:23:20.782,974496.0,,,,,2.0,,,,,,,,,,,,,,,
246,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2023-09-07 13:33:50.830000,2023-06-14 18:09:08,1494.0,,143.0,41.0,130.0,8.0,634.0,1142.0,A Python data analysis library that is optimized for humans instead of machines.,51.0,31,True,,,7.0,agate,conda-forge/agate,,,,2123.0,2123.0,https://pypi.org/project/agate,3761148.0,3766303.0,https://anaconda.org/conda-forge/agate,2023-09-07 13:33:50.830,144360.0,,,,,2.0,,,,,,,,,,,,,,,
247,SALib,SALib/SALib,probabilistics,,https://github.com/SALib/SALib,https://github.com/SALib/SALib,MIT,2013-05-30 13:38:10.000,2023-07-20 13:07:33.000000,2023-07-20 13:07:33,1845.0,46.0,212.0,19.0,278.0,42.0,265.0,745.0,"Sensitivity Analysis Library in Python. Contains Sobol, Morris, FAST, and other methods.",43.0,31,True,2023-01-08 01:02:35,1.4.7,33.0,salib,conda-forge/salib,,,,876.0,876.0,https://pypi.org/project/salib,105304.0,106924.0,https://anaconda.org/conda-forge/salib,2023-06-16 13:22:11.263,132875.0,,,,,2.0,,,,,,,,,,,,,,,
248,tensorflow-upstream,ROCmSoftwarePlatform/tensorflow-upstream,ml-frameworks,,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,Apache-2.0,2018-04-09 21:24:50.000,2023-09-14 12:11:08.000000,2023-09-11 12:48:46,157525.0,3872.0,78.0,51.0,1870.0,73.0,279.0,657.0,TensorFlow ROCm port.,4460.0,31,True,2019-10-11 17:16:09,2.0.0-rocm,2.0,tensorflow-rocm,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-rocm,2675.0,2675.0,,,,,,,,3.0,21.0,,,,,,,,,,,,,,
249,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,,2010-07-22 16:28:30.000,2023-09-12 20:17:10.000000,2023-09-08 19:10:31,5559.0,25.0,243.0,36.0,761.0,100.0,384.0,579.0,Python package to access a cacophony of neuro-imaging file formats.,98.0,31,False,2023-04-03 14:58:34,5.1.0,38.0,nibabel,conda-forge/nibabel,,,,14546.0,14546.0,https://pypi.org/project/nibabel,264744.0,271915.0,https://anaconda.org/conda-forge/nibabel,2023-06-16 13:17:25.616,631100.0,,,,,2.0,,,,,,,,,,,,,,,
250,spleeter,deezer/spleeter,audio,,https://github.com/deezer/spleeter,https://github.com/deezer/spleeter,MIT,2019-09-26 15:40:46.000,2023-08-30 18:40:54.000000,2023-07-13 08:50:20,531.0,1.0,2558.0,374.0,116.0,186.0,556.0,23416.0,Deezer source separation library including pretrained models.,19.0,30,True,2021-09-03 09:59:00,2.3.0,10.0,spleeter,conda-forge/spleeter,,,['tensorflow'],577.0,577.0,https://pypi.org/project/spleeter,15376.0,72931.0,https://anaconda.org/conda-forge/spleeter,2023-06-16 16:18:57.741,78309.0,,,,,2.0,2625096.0,,,,,,,,,,,,,,
251,vit-pytorch,lucidrains/vit-pytorch,image,,https://github.com/lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24.000,2023-09-10 16:33:08.000000,2023-09-10 16:32:57,287.0,14.0,2451.0,134.0,40.0,106.0,125.0,15234.0,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single..",18.0,30,True,2023-09-10 16:33:08,1.4.5,100.0,vit-pytorch,,,,['pytorch'],308.0,308.0,https://pypi.org/project/vit-pytorch,18118.0,18118.0,,,,,,,,2.0,,,,,,,,,,,,,,,
252,PaddleDetection,PaddlePaddle/PaddleDetection,image,,https://github.com/PaddlePaddle/PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14.000,2023-09-13 07:55:10.000000,2023-09-07 02:38:38,2149.0,5.0,2654.0,194.0,3564.0,1220.0,3828.0,11149.0,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object..",145.0,30,True,2023-02-23 03:25:22,2.6.0,8.0,paddledet,,,,['paddle'],107.0,107.0,https://pypi.org/project/paddledet,633.0,633.0,,,,,,,,2.0,,,,,,,,,,,,,,,
253,TFlearn,tflearn/tflearn,ml-frameworks,,https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn,,2016-03-31 12:05:53.000,2023-09-05 19:14:27.000000,2020-11-30 04:34:51,613.0,,2316.0,461.0,258.0,554.0,362.0,9597.0,Deep learning library featuring a higher-level API for TensorFlow.,128.0,30,False,2020-11-11 19:26:11,0.5.0,8.0,tflearn,,,,['tensorflow'],4637.0,4637.0,https://pypi.org/project/tflearn,7827.0,7827.0,,,,,,,,3.0,,,,,,,,,,,,,,,
254,tsfresh,blue-yonder/tsfresh,time-series-data,,https://github.com/blue-yonder/tsfresh,https://github.com/blue-yonder/tsfresh,MIT,2016-10-26 11:29:17.000,2023-09-13 01:13:41.000000,2023-08-03 21:07:06,544.0,4.0,1145.0,164.0,422.0,50.0,468.0,7720.0,Automatic extraction of relevant features from time series:.,89.0,30,True,2023-06-14 21:31:43,0.20.1,13.0,tsfresh,conda-forge/tsfresh,,,['sklearn'],13.0,13.0,https://pypi.org/project/tsfresh,219896.0,251543.0,https://anaconda.org/conda-forge/tsfresh,2023-07-30 07:29:21.371,1265911.0,,,,,2.0,,,,,,,,,,,,,,,
255,Apex,NVIDIA/apex,gpu-utilities,,https://github.com/NVIDIA/apex,https://github.com/NVIDIA/apex,BSD-3-Clause,2018-04-23 16:28:52.000,2023-09-13 18:13:42.000000,2023-09-06 22:59:04,1135.0,17.0,1182.0,104.0,599.0,609.0,512.0,7555.0,A PyTorch Extension: Tools for easy mixed precision and distributed training in Pytorch.,118.0,30,True,,,2.0,,conda-forge/nvidia-apex,,,['pytorch'],1972.0,1972.0,,,3649.0,https://anaconda.org/conda-forge/nvidia-apex,2023-06-16 16:18:35.589,171532.0,,,,,2.0,,,,,,,,,,,,,,,
256,SpeechRecognition,Uberi/speech_recognition,audio,,https://github.com/Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,BSD-3-Clause,2014-04-23 04:53:54.000,2023-09-09 23:36:21.000000,2023-03-13 12:21:37,454.0,,2186.0,282.0,131.0,264.0,307.0,7508.0,"Speech recognition module for Python, supporting several engines and APIs, online and offline.",49.0,30,True,2023-03-14 12:04:32,3.10.0,25.0,SpeechRecognition,conda-forge/speechrecognition,,,,13.0,13.0,https://pypi.org/project/SpeechRecognition,450909.0,452935.0,https://anaconda.org/conda-forge/speechrecognition,2023-06-16 13:24:04.552,172294.0,,,,,2.0,,,,,,,,,,,,,,,
257,deepface,serengil/deepface,image,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28.000,2023-09-08 07:01:50.000000,2023-09-04 18:27:54,1080.0,45.0,1446.0,107.0,83.0,8.0,752.0,7354.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",43.0,30,True,,,,deepface,,,,,1853.0,1853.0,https://pypi.org/project/deepface,27884.0,27884.0,,,,,,,,2.0,,,,,,,,,,,,,,,
258,Hyperopt,hyperopt/hyperopt,hyperopt,,https://github.com/hyperopt/hyperopt,https://github.com/hyperopt/hyperopt,,2011-09-06 22:24:59.000,2023-09-12 09:37:47.000000,2023-08-08 19:21:45,1213.0,7.0,896.0,127.0,268.0,315.0,317.0,6852.0,Distributed Asynchronous Hyperparameter Optimization in Python.,102.0,30,False,,,7.0,hyperopt,conda-forge/hyperopt,,,,11783.0,11783.0,https://pypi.org/project/hyperopt,1822544.0,1834624.0,https://anaconda.org/conda-forge/hyperopt,2023-06-16 16:14:11.076,724844.0,,,,,2.0,,,,,,,,,,,,,,,
