,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,snap_id,dnf_id,yay_id
133,einops,arogozhnikov/einops,ml-frameworks,,https://github.com/arogozhnikov/einops,https://github.com/arogozhnikov/einops,MIT,2018-09-22 00:45:08.000,2023-06-20 21:37:03.000000,2023-05-15 17:54:10,590.0,11.0,298.0,65.0,85.0,32.0,111.0,6918.0,"Deep learning operations reinvented (for pytorch, tensorflow, jax and others).",23.0,34,True,2023-04-19 04:13:12,0.6.1,9.0,einops,conda-forge/einops,,,,12431.0,12431.0,https://pypi.org/project/einops,3775020.0,3777456.0,https://anaconda.org/conda-forge/einops,2023-06-16 16:16:58.561,109659.0,,,,,2.0,,,,,,,,,,,,,,,
134,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,sklearn-utils,,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000,2023-06-16 13:24:50.852000,2022-12-28 13:20:34,805.0,,1172.0,145.0,448.0,46.0,498.0,6383.0,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,71.0,34,True,2022-12-09 14:24:27,0.10.0,31.0,imbalanced-learn,conda-forge/imbalanced-learn,,,['sklearn'],17987.0,17987.0,https://pypi.org/project/imbalanced-learn,2667728.0,2673908.0,https://anaconda.org/conda-forge/imbalanced-learn,2023-06-16 13:24:50.852,420303.0,,,,,1.0,,,,,,,,,,,,,,,
135,UMAP,lmcinnes/umap,data-viz,,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17.000,2023-06-16 16:09:19.013000,2023-06-15 13:47:41,1687.0,17.0,698.0,123.0,252.0,388.0,321.0,6285.0,Uniform Manifold Approximation and Projection.,117.0,34,True,2022-04-13 21:19:42,0.5.3,26.0,umap-learn,conda-forge/umap-learn,,,,9450.0,9450.0,https://pypi.org/project/umap-learn,824352.0,856550.0,https://anaconda.org/conda-forge/umap-learn,2023-06-16 16:09:19.013,1996316.0,,,,,2.0,,,,,,,,,,,,,,,
136,Chainer,chainer/chainer,ml-frameworks,,https://github.com/chainer/chainer,https://github.com/chainer/chainer,MIT,2015-06-05 05:50:37.000,2023-06-16 19:17:58.452000,2022-10-17 02:18:00,30611.0,,1325.0,292.0,6586.0,12.0,2030.0,5808.0,A flexible framework of neural networks for deep learning.,325.0,34,True,2022-06-29 08:19:03,7.8.1.post1,100.0,chainer,conda-forge/chainer,,,,3046.0,3046.0,https://pypi.org/project/chainer,19283.0,19644.0,https://anaconda.org/conda-forge/chainer,2023-06-16 19:17:58.452,14473.0,,,,,2.0,,,,,,,,,,,,,,,
137,InterpretML,interpretml/interpret,interpretability,,https://github.com/interpretml/interpret,https://github.com/interpretml/interpret,MIT,2019-05-03 05:47:52.000,2023-06-22 09:00:45.000000,2023-06-22 08:53:51,2597.0,282.0,661.0,141.0,76.0,55.0,307.0,5554.0,Fit interpretable models. Explain blackbox machine learning.,38.0,34,True,2023-06-01 18:42:55,0.4.2,37.0,interpret,,,,['jupyter'],458.0,458.0,https://pypi.org/project/interpret,60294.0,60294.0,,,,,,,,1.0,,,,,,,,,,,,,,,
138,BentoML,bentoml/BentoML,model-serialisation,,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27.000,2023-06-22 03:50:52.000000,2023-06-22 01:46:19,2497.0,157.0,574.0,66.0,2884.0,148.0,734.0,5103.0,Unified Model Serving Framework.,158.0,34,True,2023-06-12 20:44:54,1.0.22,85.0,bentoml,,,,,1044.0,1044.0,https://pypi.org/project/bentoml,45487.0,45526.0,,,,,,,,1.0,1964.0,,,,,7.0,,,,,,,,,
139,MLxtend,rasbt/mlxtend,sklearn-utils,,https://github.com/rasbt/mlxtend,https://github.com/rasbt/mlxtend,,2014-08-14 01:56:16.000,2023-06-16 13:24:16.113000,2023-05-21 13:07:26,1626.0,51.0,802.0,117.0,511.0,115.0,334.0,4429.0,A library of extension and helper modules for Pythons data analysis and machine learning libraries.,98.0,34,False,2023-04-02 18:57:58,0.22.0,27.0,mlxtend,conda-forge/mlxtend,,,['sklearn'],9628.0,9628.0,https://pypi.org/project/mlxtend,639236.0,643153.0,https://anaconda.org/conda-forge/mlxtend,2023-06-16 13:24:16.113,278107.0,,,,,1.0,,,,,,,,,,,,,,,
140,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2023-06-22 13:46:58.000000,2023-06-22 11:27:23,2327.0,214.0,234.0,45.0,1947.0,264.0,633.0,3877.0,"Aim An easy-to-use & supercharged open-source AI metadata tracker (experiment tracking, AI agents tracing).",62.0,34,True,2023-06-02 08:59:51,3.17.5,55.0,aim,conda-forge/aim,,,,250.0,250.0,https://pypi.org/project/aim,114994.0,116425.0,https://anaconda.org/conda-forge/aim,2023-06-16 19:26:46.894,32927.0,,,,,2.0,,,,,,,,,,,,,,,
141,Wand,emcconville/wand,image,,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000,2023-06-16 20:29:18.000000,2023-06-16 20:29:14,1824.0,6.0,192.0,29.0,205.0,19.0,378.0,1290.0,The ctypes-based simple ImageMagick binding for Python.,102.0,34,True,2023-01-05 13:25:52,0.6.11,23.0,wand,conda-forge/wand,,,,16260.0,16260.0,https://pypi.org/project/wand,716658.0,717519.0,https://anaconda.org/conda-forge/wand,2023-06-16 16:16:46.218,25446.0,,,,,2.0,16984.0,,,,,,,,,,,,,,
142,Fiona,Toblerity/Fiona,geospatial-data,,https://github.com/Toblerity/Fiona,https://github.com/Toblerity/Fiona,BSD-3-Clause,2011-12-31 19:47:00.000,2023-06-20 20:38:57.000000,2023-05-23 23:40:14,1439.0,39.0,192.0,49.0,499.0,30.0,716.0,1045.0,Fiona reads and writes geographic data files.,68.0,34,True,2023-05-23 23:23:16,1.9.4.post1,46.0,fiona,conda-forge/fiona,,,,13312.0,13312.0,https://pypi.org/project/fiona,5496817.0,5549959.0,https://anaconda.org/conda-forge/fiona,2023-06-16 13:17:11.785,4623438.0,,,,,2.0,,,,,,,,,,,,,,,
143,Hail,hail-is/hail,medical-data,,https://github.com/hail-is/hail,https://github.com/hail-is/hail,MIT,2015-10-27 20:55:42.000,2023-06-22 13:52:31.000000,2023-06-21 22:35:08,10779.0,249.0,220.0,59.0,11121.0,35.0,2043.0,884.0,Cloud-native genomic dataframes and batch computing.,88.0,34,True,2023-06-13 18:08:33,0.2.118,100.0,hail,,,,['spark'],104.0,104.0,https://pypi.org/project/hail,92989.0,92989.0,,,,,,,,2.0,,,,,,,,,,,,,,,
144,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-06-21 22:25:28.000000,2023-06-15 18:12:53,1912.0,118.0,4087.0,298.0,354.0,67.0,680.0,25730.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision..",102.0,33,True,2023-05-14 15:08:21,0.9.2,46.0,timm,conda-forge/timm,,,['pytorch'],,,https://pypi.org/project/timm,2875573.0,2974801.0,https://anaconda.org/conda-forge/timm,2023-06-16 19:20:50.732,73911.0,,,,,2.0,4758749.0,,,,,,,,,huggingface/pytorch-image-models,,,,,
145,MMDetection,open-mmlab/mmdetection,image,,https://github.com/open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,Apache-2.0,2018-08-22 07:06:06.000,2023-06-22 11:45:35.000000,2023-04-06 06:55:28,2539.0,18.0,7858.0,372.0,2940.0,728.0,6420.0,24663.0,OpenMMLab Detection Toolbox and Benchmark.,394.0,33,True,2023-04-06 07:26:03,3.0.0,50.0,mmdet,,,,['pytorch'],,,https://pypi.org/project/mmdet,163464.0,163464.0,,,,,,,,2.0,,,,,,,,,,,,,,,
146,Netron,lutzroeder/netron,interpretability,,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,MIT,2010-12-26 12:53:43.000,2023-06-22 02:37:08.000000,2023-06-22 02:37:02,6886.0,292.0,2452.0,292.0,166.0,27.0,915.0,23218.0,"Visualizer for neural network, deep learning, and machine learning models.",,33,True,2023-06-18 17:41:30,6.9.9,2.0,netron,,,,"['pytorch', 'tensorflow']",10.0,10.0,https://pypi.org/project/netron,13719.0,52632.0,,,,,,,,1.0,38913.0,,,,,,,,,,,,,,
147,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2023-06-16 19:21:35.991000,2020-10-14 16:36:49,6226.0,,4092.0,1003.0,1867.0,320.0,658.0,16232.0,"Zipline, a Pythonic Algorithmic Trading Library.",159.0,33,False,2020-10-05 15:43:07,1.4.1,13.0,zipline,conda-forge/zipline,,,,939.0,939.0,https://pypi.org/project/zipline,3871.0,4087.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,7141.0,,,,,1.0,,,,,,,,,,,,,,,
148,Prophet,facebook/prophet,time-series-data,,https://github.com/facebook/prophet,https://github.com/facebook/prophet,MIT,2016-11-16 01:50:08.000,2023-06-18 21:39:22.000000,2023-06-18 21:39:18,773.0,13.0,4328.0,423.0,421.0,339.0,1673.0,16030.0,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear..,167.0,33,True,2023-05-29 15:12:28,1.1.4,15.0,fbprophet,conda-forge/prophet,,,,,,https://pypi.org/project/fbprophet,983006.0,1012881.0,https://anaconda.org/conda-forge/prophet,2023-06-15 14:12:13.774,776174.0,,,,,1.0,1763.0,,,,,,,,,,,,,,
149,Turi Create,apple/turicreate,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000,2023-05-27 00:04:03.000000,2021-11-29 19:55:31,1571.0,,1125.0,348.0,1682.0,494.0,1294.0,11036.0,Turi Create simplifies the development of custom machine learning models.,85.0,33,False,2020-09-30 22:44:07,6.4.1,30.0,turicreate,,,,,354.0,354.0,https://pypi.org/project/turicreate,24015.0,24147.0,,,,,,,,3.0,8732.0,,,,,,,,,,,,,,
150,Lime,marcotcr/lime,interpretability,,https://github.com/marcotcr/lime,https://github.com/marcotcr/lime,BSD-2-Clause,2016-03-15 22:18:10.000,2023-06-16 13:18:57.655000,2021-07-29 23:17:25,531.0,,1686.0,267.0,111.0,73.0,533.0,10718.0,Lime: Explaining the predictions of any machine learning classifier.,62.0,33,False,2020-04-03 22:05:03,0.2.0.0,18.0,lime,conda-forge/lime,,,,3893.0,3893.0,https://pypi.org/project/lime,291783.0,293949.0,https://anaconda.org/conda-forge/lime,2023-06-16 13:18:57.655,168961.0,,,,,1.0,,,,,,,,,,,,,,,
151,Datasette,simonw/datasette,others,,https://github.com/simonw/datasette,https://github.com/simonw/datasette,Apache-2.0,2017-10-23 00:39:03.000,2023-06-16 19:25:39.949000,2023-05-26 00:18:43,2375.0,19.0,521.0,102.0,395.0,470.0,1109.0,7896.0,An open source multi-tool for exploring and publishing data.,75.0,33,True,2023-04-27 15:00:27,0.64.3,100.0,datasette,conda-forge/datasette,,,,1012.0,1012.0,https://pypi.org/project/datasette,32327.0,33174.0,https://anaconda.org/conda-forge/datasette,2023-06-16 19:25:39.949,21999.0,,,,,1.0,44.0,,,,,,datasette,,,,,,,,
152,PaddleSeg,PaddlePaddle/PaddleSeg,image,,https://github.com/PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22.000,2023-06-20 07:02:59.000000,2023-06-12 08:37:48,2831.0,30.0,1506.0,84.0,1549.0,259.0,1514.0,7266.0,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in..",110.0,33,True,2023-04-11 13:27:26,2.8.0,18.0,paddleseg,,,,['paddle'],947.0,947.0,https://pypi.org/project/paddleseg,3168.0,3168.0,,,,,,,,2.0,,,,,,,,,,,,,,,
153,Tokenizers,huggingface/tokenizers,nlp,,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20.000,2023-06-22 10:07:24.000000,2023-06-12 08:38:42,1673.0,28.0,585.0,112.0,492.0,241.0,544.0,7156.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,71.0,33,True,2023-04-05 08:02:19,0.13.3,73.0,tokenizers,conda-forge/tokenizers,,,,62.0,62.0,https://pypi.org/project/tokenizers,10706576.0,10738439.0,https://anaconda.org/conda-forge/tokenizers,2023-06-16 19:20:53.569,1115219.0,,,,,2.0,13.0,,,,,,,,,,,,,,
154,PyOD,yzhao062/pyod,others,,https://github.com/yzhao062/pyod,https://github.com/yzhao062/pyod,BSD-2-Clause,2017-10-03 20:29:04.000,2023-06-21 14:25:07.000000,2023-03-20 01:12:16,1671.0,,1250.0,148.0,196.0,159.0,142.0,7145.0,A Comprehensive and Scalable Python Library for Outlier Detection (Anomaly Detection).,48.0,33,True,2023-03-08 22:50:04,1.0.8,35.0,pyod,conda-forge/pyod,,,,2467.0,2467.0,https://pypi.org/project/pyod,517998.0,519830.0,https://anaconda.org/conda-forge/pyod,2023-06-16 19:18:20.027,71455.0,,,,,1.0,,,,,,,,,,,,,,,
155,NeMo,NVIDIA/NeMo,nlp,,https://github.com/NVIDIA/NeMo,https://github.com/NVIDIA/NeMo,Apache-2.0,2019-08-05 20:16:42.000,2023-06-22 13:45:23.000000,2023-06-21 21:41:31,5569.0,254.0,1554.0,155.0,4781.0,43.0,1586.0,7076.0,NeMo: a toolkit for conversational AI.,223.0,33,True,2023-06-15 23:46:05,1.19.0,42.0,nemo-toolkit,,,,['pytorch'],,,https://pypi.org/project/nemo-toolkit,38759.0,39762.0,,,,,,,,2.0,45159.0,,,,,,,,,,,,,,
156,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,https://github.com/bayesian-optimization/BayesianOptimization,https://github.com/bayesian-optimization/BayesianOptimization,MIT,2014-06-06 08:18:56.000,2023-05-25 17:26:06.000000,2023-05-25 07:09:50,353.0,34.0,1387.0,133.0,119.0,11.0,301.0,6850.0,A Python implementation of global optimization with gaussian processes.,40.0,33,True,2023-04-25 21:59:23,1.4.3,13.0,bayesian-optimization,,,,,1915.0,1915.0,https://pypi.org/project/bayesian-optimization,183660.0,183661.0,,,,,,,,1.0,127.0,,,,,,,,,bayesian-optimization/BayesianOptimization,,,,,
157,Metaflow,Netflix/metaflow,ml-experiments,,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25.000,2023-06-22 04:35:14.000000,2023-06-21 15:11:13,724.0,85.0,605.0,264.0,930.0,225.0,302.0,6750.0,Build and manage real-life data science projects with ease!.,72.0,33,True,2023-06-21 15:59:58,2.9.6,86.0,metaflow,conda-forge/metaflow,,,,488.0,488.0,https://pypi.org/project/metaflow,114951.0,118698.0,https://anaconda.org/conda-forge/metaflow,2023-06-21 15:39:14.619,131153.0,,,,,2.0,,,,,,,,,,,,,,,
158,featuretools,alteryx/featuretools,hyperopt,,https://github.com/alteryx/featuretools,https://github.com/alteryx/featuretools,BSD-3-Clause,2017-09-08 22:15:17.000,2023-06-21 17:04:18.000000,2023-06-14 16:56:18,1283.0,23.0,814.0,156.0,1615.0,173.0,781.0,6673.0,An open source python library for automated feature engineering.,70.0,33,True,2023-04-27 21:49:53,1.26.0,100.0,featuretools,conda-forge/featuretools,,,,1362.0,1362.0,https://pypi.org/project/featuretools,53693.0,56514.0,https://anaconda.org/conda-forge/featuretools,2023-06-16 16:13:37.499,152372.0,,,,,1.0,,,,,,,,,,,,,,,
159,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2023-06-22 12:39:36.000000,2023-06-22 12:39:32,1392.0,8.0,834.0,218.0,216.0,151.0,231.0,6349.0,Efficiently computes derivatives of numpy code.,54.0,33,True,2015-03-05 19:30:11,1.0,6.0,autograd,conda-forge/autograd,,,,5585.0,5585.0,https://pypi.org/project/autograd,1066603.0,1070560.0,https://anaconda.org/conda-forge/autograd,2023-06-16 13:22:46.338,324553.0,,,,,1.0,,,,,,,,,,,,,,,
160,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2023-06-22 01:09:47.000000,2023-06-06 08:57:44,2683.0,10.0,1097.0,210.0,1021.0,56.0,572.0,6256.0,An open source library for deep learning end-to-end dialog systems and chatbots.,74.0,33,True,2023-06-06 08:59:39,1.2.0,59.0,deeppavlov,,,,['tensorflow'],349.0,349.0,https://pypi.org/project/deeppavlov,8832.0,8832.0,,,,,,,,2.0,,,,,,,,,,deeppavlov/DeepPavlov,,,,,
161,PML,KevinMusgrave/pytorch-metric-learning,pytorch-utils,,https://github.com/KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,MIT,2019-10-23 17:20:35.000,2023-06-20 18:40:42.000000,2023-06-18 18:58:15,1146.0,47.0,602.0,67.0,116.0,47.0,412.0,5307.0,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",35.0,33,True,2023-06-18 18:51:37,2.2.0,54.0,pytorch-metric-learning,metric-learning/pytorch-metric-learning,,,['pytorch'],735.0,735.0,https://pypi.org/project/pytorch-metric-learning,250136.0,250388.0,https://anaconda.org/metric-learning/pytorch-metric-learning,2023-06-16 19:17:36.446,10338.0,,,,,1.0,,,,,,,,,,,,,,,
162,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2023-06-22 08:56:16.000000,2023-06-21 15:33:44,2137.0,82.0,571.0,83.0,217.0,351.0,473.0,4491.0,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",80.0,33,True,2023-06-22 08:56:16,1.11.1,84.0,clearml,,allegroai/trains,,,603.0,603.0,https://pypi.org/project/clearml,212786.0,213439.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30170.0,2.0,1223.0,,,,,,,,,,,,,,
163,tensorflow-probability,tensorflow/probability,probabilistics,,https://github.com/tensorflow/probability,https://github.com/tensorflow/probability,Apache-2.0,2017-10-23 23:50:54.000,2023-06-20 22:27:09.000000,2023-06-20 22:27:07,11903.0,68.0,1016.0,170.0,443.0,562.0,720.0,3930.0,Probabilistic reasoning and statistical analysis in TensorFlow.,476.0,33,True,2023-05-08 20:13:58,0.20.0,46.0,tensorflow-probability,conda-forge/tensorflow-probability,,,['tensorflow'],,,https://pypi.org/project/tensorflow-probability,1062303.0,1064332.0,https://anaconda.org/conda-forge/tensorflow-probability,2023-06-16 16:07:20.094,105554.0,,,,,1.0,,,,,,,,,,,,,,,
164,ART,Trusted-AI/adversarial-robustness-toolbox,adversarial,,https://github.com/Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,MIT,2018-03-15 14:40:43.000,2023-06-22 07:56:54.000000,2023-06-20 13:55:59,11485.0,101.0,985.0,95.0,1202.0,106.0,700.0,3758.0,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction,..",127.0,33,True,2023-04-21 19:47:55,1.14.1,50.0,adversarial-robustness-toolbox,conda-forge/adversarial-robustness-toolbox,,,,380.0,380.0,https://pypi.org/project/adversarial-robustness-toolbox,19076.0,19862.0,https://anaconda.org/conda-forge/adversarial-robustness-toolbox,2023-06-16 19:21:01.275,27542.0,,,,,1.0,,,,,,,,,,,,,,,
165,GPyTorch,cornellius-gp/gpytorch,probabilistics,,https://github.com/cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch,MIT,2017-06-09 14:48:20.000,2023-06-16 19:18:19.251000,2023-06-02 22:03:20,3801.0,44.0,481.0,55.0,857.0,289.0,943.0,3145.0,A highly efficient implementation of Gaussian Processes in PyTorch.,121.0,33,True,2023-06-02 22:04:02,1.11,32.0,gpytorch,conda-forge/gpytorch,,,['pytorch'],1371.0,1371.0,https://pypi.org/project/gpytorch,198037.0,200645.0,https://anaconda.org/conda-forge/gpytorch,2023-06-16 19:18:19.251,101737.0,,,,,1.0,,,,,,,,,,,,,,,
166,VisPy,vispy/vispy,data-viz,,https://github.com/vispy/vispy,https://github.com/vispy/vispy,,2013-03-21 18:43:22.000,2023-06-21 14:33:18.000000,2023-06-12 13:33:42,7227.0,55.0,592.0,118.0,1119.0,295.0,1087.0,3078.0,High-performance interactive 2D/3D data visualization library.,187.0,33,False,2023-05-17 15:53:12,0.13.0,33.0,vispy,conda-forge/vispy,,,['jupyter'],1173.0,1173.0,https://pypi.org/project/vispy,80803.0,86682.0,https://anaconda.org/conda-forge/vispy,2023-06-16 13:22:11.969,399515.0,,,,,2.0,,,vispy,https://www.npmjs.com/package/vispy,4.0,,,,,,,,,,
167,datashader,holoviz/datashader,data-viz,,https://github.com/holoviz/datashader,https://github.com/holoviz/datashader,BSD-3-Clause,2015-12-23 18:02:20.000,2023-06-22 09:52:44.000000,2023-06-19 09:14:16,1434.0,22.0,353.0,94.0,678.0,128.0,423.0,3004.0,Quickly and accurately render even the largest data.,53.0,33,True,2023-06-01 09:16:22,0.15.0,30.0,datashader,conda-forge/datashader,,,,2546.0,2546.0,https://pypi.org/project/datashader,59214.0,68145.0,https://anaconda.org/conda-forge/datashader,2023-06-16 13:24:46.671,598422.0,,,,,2.0,,,,,,,,,,,,,,,
168,NeuralProphet,ourownstory/neural_prophet,time-series-data,,https://github.com/ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,MIT,2020-05-04 05:12:43.000,2023-06-22 01:07:23.000000,2023-06-14 04:24:03,1337.0,70.0,412.0,49.0,671.0,31.0,424.0,2994.0,NeuralProphet: A simple forecasting package.,40.0,33,True,2023-06-14 22:41:07,0.6.2,25.0,neuralprophet,,,,['pytorch'],259.0,259.0,https://pypi.org/project/neuralprophet,167151.0,167151.0,,,,,,,,1.0,,,,,,,,,,,,,,,
169,BoTorch,pytorch/botorch,hyperopt,,https://github.com/pytorch/botorch,https://github.com/pytorch/botorch,MIT,2018-07-30 23:59:57.000,2023-06-22 12:32:50.000000,2023-06-21 19:38:23,1577.0,89.0,310.0,51.0,1302.0,46.0,360.0,2665.0,Bayesian optimization in PyTorch.,94.0,33,True,2023-05-08 17:31:42,0.8.5,35.0,botorch,conda-forge/botorch,,,['pytorch'],575.0,575.0,https://pypi.org/project/botorch,171533.0,173655.0,https://anaconda.org/conda-forge/botorch,2023-06-16 19:21:08.624,72174.0,,,,,1.0,,,,,,,,,,,,,,,
170,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000,2023-06-20 12:28:56.000000,2021-10-12 13:32:38,1570.0,,472.0,64.0,529.0,244.0,390.0,2612.0,Sequential model-based optimization with a `scipy.optimize` interface.,76.0,33,False,2021-10-12 15:33:19,0.9.0,23.0,scikit-optimize,conda-forge/scikit-optimize,,,,4398.0,4398.0,https://pypi.org/project/scikit-optimize,527645.0,536726.0,https://anaconda.org/conda-forge/scikit-optimize,2023-06-16 13:23:01.487,644763.0,,,,,1.0,,,,,,,,,,,,,,,
171,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,https://github.com/scikit-learn-contrib/category_encoders,https://github.com/scikit-learn-contrib/category_encoders,BSD-3-Clause,2015-11-29 19:32:37.000,2023-06-16 13:24:52.029000,2023-05-19 10:29:59,913.0,7.0,373.0,38.0,139.0,43.0,228.0,2241.0,A library of sklearn compatible categorical variable encoders.,61.0,33,True,2023-05-15 21:28:45,2.6.1,18.0,category_encoders,conda-forge/category_encoders,,,['sklearn'],5522.0,5522.0,https://pypi.org/project/category_encoders,1287521.0,1290242.0,https://anaconda.org/conda-forge/category_encoders,2023-06-16 13:24:52.029,225864.0,,,,,2.0,,,,,,,,,,,,,,,
172,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2023-06-16 13:24:15.529000,2023-06-14 12:46:17,2251.0,28.0,520.0,70.0,472.0,241.0,668.0,2118.0,Survival analysis in Python.,109.0,33,True,2023-05-01 16:15:35,0.27.7,100.0,lifelines,conda-forge/lifelines,,,,1657.0,1657.0,https://pypi.org/project/lifelines,355785.0,358975.0,https://anaconda.org/conda-forge/lifelines,2023-06-16 13:24:15.529,268025.0,,,,,2.0,,,,,,,,,,,,,,,
173,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2023-06-22 12:17:10.000000,2023-06-22 12:12:56,2428.0,79.0,249.0,67.0,1132.0,42.0,499.0,2085.0,Adaptive Experimentation Platform.,146.0,33,True,2023-05-08 20:26:07,0.3.2,34.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],494.0,494.0,https://pypi.org/project/ax-platform,120061.0,120481.0,https://anaconda.org/conda-forge/ax-platform,2023-06-16 19:26:28.890,10090.0,,,,,1.0,,,,,,,,,,,,,,,
174,Geocoder,DenisCarriere/geocoder,geospatial-data,,https://github.com/DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,MIT,2014-01-13 04:19:21.000,2023-06-16 13:21:27.128000,2018-10-12 15:53:05,1251.0,,272.0,51.0,153.0,79.0,217.0,1535.0,Python Geocoder.,73.0,33,False,2016-09-05 17:57:51,1.17.3,18.0,geocoder,conda-forge/geocoder,,,,7202.0,7202.0,https://pypi.org/project/geocoder,508516.0,510166.0,https://anaconda.org/conda-forge/geocoder,2023-06-16 13:21:27.128,125414.0,,,,,2.0,,,,,,,,,,,,,geocoder,,
175,Graphviz,xflr6/graphviz,data-viz,,https://github.com/xflr6/graphviz,https://github.com/xflr6/graphviz,MIT,2014-01-12 17:49:29.000,2023-06-16 13:23:51.228000,2023-01-30 19:02:45,1184.0,,193.0,32.0,40.0,7.0,153.0,1410.0,Simple Python interface for Graphviz.,19.0,33,True,,,13.0,graphviz,anaconda/python-graphviz,,,,49535.0,49535.0,https://pypi.org/project/graphviz,8153633.0,8154146.0,https://anaconda.org/anaconda/python-graphviz,2023-06-16 13:23:51.228,38015.0,,,,,2.0,,,,,,,,,,,,,,,
