,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,snap_id,dnf_id,yay_id
196,STUMPY,TDAmeritrade/stumpy,time-series-data,,https://github.com/TDAmeritrade/stumpy,https://github.com/TDAmeritrade/stumpy,BSD-3-Clause,2019-05-03 19:23:44.000,2023-05-11 03:59:32.000000,2023-05-10 01:11:51,1222.0,44.0,255.0,53.0,191.0,55.0,368.0,2665.0,STUMPY is a powerful and scalable Python library for modern time series analysis.,33.0,32,True,2022-03-31 21:21:50,1.11.1,25.0,stumpy,conda-forge/stumpy,,,,426.0,426.0,https://pypi.org/project/stumpy,172462.0,182767.0,https://anaconda.org/conda-forge/stumpy,2022-03-31 21:30:16.208,494669.0,,,,,1.0,,,,,,,,,,,,,,,
197,textacy,chartbeat-labs/textacy,nlp,,https://github.com/chartbeat-labs/textacy,https://github.com/chartbeat-labs/textacy,,2016-02-03 16:52:45.000,2023-05-01 23:28:27.000000,2023-04-03 00:19:55,1816.0,75.0,245.0,91.0,121.0,29.0,230.0,2056.0,"NLP, before and after spaCy.",34.0,32,False,2023-04-02 22:46:00,0.13.0,29.0,textacy,conda-forge/textacy,,,,1430.0,1430.0,https://pypi.org/project/textacy,150141.0,151920.0,https://anaconda.org/conda-forge/textacy,2023-03-09 02:34:37.452,128098.0,,,,,2.0,,,,,,,,,,,,,,,
198,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,MIT,2010-07-09 20:41:11.000,2023-04-10 22:19:05.000000,2023-04-10 22:19:05,514.0,66.0,152.0,42.0,66.0,8.0,115.0,1846.0,a python library for doing approximate and phonetic matching of strings.,29.0,32,True,,,10.0,jellyfish,conda-forge/jellyfish,,,,5868.0,5868.0,https://pypi.org/project/jellyfish,1850706.0,1857675.0,https://anaconda.org/conda-forge/jellyfish,2022-10-28 08:39:19.681,557582.0,,,,,2.0,,,,,,,,,,,,,,,
199,adapter-transformers,Adapter-Hub/adapter-transformers,others,,https://github.com/adapter-hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,Apache-2.0,2020-04-21 16:21:43.000,2023-05-10 21:11:16.000000,2023-05-10 21:02:58,12580.0,21.0,259.0,21.0,241.0,49.0,254.0,1558.0,Huggingface Transformers + Adapters =.,1712.0,32,True,2023-04-06 21:17:41,adapters3.2.1,14.0,adapter-transformers,,,,['huggingface'],152.0,152.0,https://pypi.org/project/adapter-transformers,19953.0,19953.0,,,,,,,,2.0,,,,,,,,,,,,,,,
200,Geocoder,DenisCarriere/geocoder,geospatial-data,,https://github.com/DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,MIT,2014-01-13 04:19:21.000,2022-08-17 17:00:40.000000,2018-10-12 15:53:05,1251.0,,271.0,50.0,153.0,79.0,217.0,1529.0,Python Geocoder.,73.0,32,False,2016-09-05 17:57:51,1.17.3,18.0,geocoder,conda-forge/geocoder,,,,6923.0,6923.0,https://pypi.org/project/geocoder,552112.0,553747.0,https://anaconda.org/conda-forge/geocoder,2019-06-27 16:40:50.469,122685.0,,,,,2.0,,,,,,,,,,,,,geocoder,,
201,TF Model Optimization,tensorflow/model-optimization,tensorflow-utils,,https://github.com/tensorflow/model-optimization,https://github.com/tensorflow/model-optimization,Apache-2.0,2018-10-31 20:34:28.000,2023-05-10 23:05:58.000000,2023-04-27 22:58:45,802.0,15.0,296.0,124.0,746.0,163.0,158.0,1397.0,"A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning.",79.0,32,True,2023-04-03 01:49:37,0.7.4,19.0,tensorflow-model-optimization,,,,['tensorflow'],2748.0,2748.0,https://pypi.org/project/tensorflow-model-optimization,278784.0,278784.0,,,,,,,,2.0,,,,,,,,,,,,,,,
202,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-03-24 10:26:16.000000,2023-02-10 13:49:02,1145.0,,326.0,64.0,563.0,215.0,334.0,1359.0,A Jupyter - Leaflet.js bridge.,82.0,32,True,2022-10-19 07:57:17,0.17.2,65.0,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],4290.0,4290.0,https://pypi.org/project/ipyleaflet,159785.0,217329.0,https://anaconda.org/conda-forge/ipyleaflet,2022-10-19 12:34:41.863,1003167.0,,,,,2.0,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,45602.0,,,,,,,,,
203,pmdarima,alkaline-ml/pmdarima,time-series-data,,https://github.com/alkaline-ml/pmdarima,https://github.com/alkaline-ml/pmdarima,MIT,2017-03-30 14:58:30.000,2023-05-10 20:09:06.000000,2023-05-10 00:06:03,1070.0,2.0,222.0,35.0,241.0,39.0,268.0,1357.0,"A statistical library designed to fill the void in Pythons time series analysis capabilities, including the equivalent..",22.0,32,True,2023-03-15 20:42:28,2.0.3,43.0,pmdarima,conda-forge/pmdarima,,,,5215.0,5215.0,https://pypi.org/project/pmdarima,1650038.0,1667386.0,https://anaconda.org/conda-forge/pmdarima,2023-03-19 11:00:48.221,537801.0,,,,,1.0,,,,,,,,,,,,,,,
204,petl,petl-developers/petl,data-pipelines,,https://github.com/petl-developers/petl,https://github.com/petl-developers/petl,MIT,2011-08-19 09:51:03.000,2023-03-06 12:56:28.000000,2022-11-23 19:30:21,1274.0,,180.0,50.0,196.0,77.0,370.0,1116.0,Python Extract Transform and Load Tables of Data.,59.0,32,True,2022-11-23 18:32:16,1.7.12,44.0,petl,conda-forge/petl,,http://petl.readthedocs.org,,3370.0,3370.0,https://pypi.org/project/petl,805649.0,807832.0,https://anaconda.org/conda-forge/petl,2022-11-23 22:16:41.153,174658.0,,,,,2.0,,,,,,,,,,,,,,,
205,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2023-05-11 06:11:34.000000,2023-05-11 06:11:33,2564.0,64.0,240.0,35.0,172.0,38.0,446.0,1096.0,Python interface for igraph.,70.0,32,False,2023-01-28 13:24:44,0.10.4,21.0,python-igraph,conda-forge/igraph,,,,1691.0,1691.0,https://pypi.org/project/python-igraph,239150.0,251804.0,https://anaconda.org/conda-forge/igraph,2023-04-21 20:31:42.093,408469.0,,,,,1.0,560579.0,,,,,,,,,,,,,,
206,TensorFlow Transform,tensorflow/transform,tensorflow-utils,,https://github.com/tensorflow/transform,https://github.com/tensorflow/transform,Apache-2.0,2017-02-10 00:36:53.000,2023-04-26 21:53:57.000000,2023-04-26 21:53:55,886.0,25.0,192.0,59.0,97.0,33.0,166.0,955.0,Input pipeline framework.,27.0,32,True,2023-04-13 22:11:06,1.13.0,44.0,tensorflow-transform,,,,['tensorflow'],1313.0,1313.0,https://pypi.org/project/tensorflow-transform,1503519.0,1503519.0,,,,,,,,2.0,,,,,,,,,,,,,,,
207,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,,2010-07-22 16:28:30.000,2023-04-23 14:38:16.000000,2023-04-23 14:38:16,5534.0,77.0,239.0,38.0,750.0,97.0,375.0,551.0,Python package to access a cacophony of neuro-imaging file formats.,96.0,32,False,2023-04-03 14:58:34,5.1.0,38.0,nibabel,conda-forge/nibabel,,,,10839.0,10839.0,https://pypi.org/project/nibabel,261022.0,267852.0,https://anaconda.org/conda-forge/nibabel,2023-04-07 23:15:42.995,573771.0,,,,,2.0,,,,,,,,,,,,,,,
208,PaddleHub,PaddlePaddle/PaddleHub,others,,https://github.com/PaddlePaddle/PaddleHub,https://github.com/PaddlePaddle/PaddleHub,Apache-2.0,2018-12-21 06:00:48.000,2023-04-21 11:09:36.000000,2023-03-28 11:49:55,2665.0,2.0,2024.0,184.0,996.0,540.0,688.0,11681.0,"Awesome pre-trained models toolkit based on PaddlePaddle. (400+ models including Image, Text, Audio, Video and Cross-..",69.0,31,True,2022-11-28 08:29:05,2.3.1,29.0,paddlehub,,,,['paddle'],1248.0,1248.0,https://pypi.org/project/paddlehub,7067.0,7079.0,,,,,,,,2.0,613.0,,,,,,,,,,,,,,
209,Coqui TTS,coqui-ai/TTS,audio,,https://github.com/coqui-ai/TTS,https://github.com/coqui-ai/TTS,MPL-2.0,2020-05-20 15:45:28.000,2023-05-11 11:03:18.000000,2023-05-11 09:09:23,4281.0,62.0,1448.0,164.0,482.0,29.0,548.0,11453.0,"- a deep learning toolkit for Text-to-Speech, battle-tested in research and production.",127.0,31,True,2023-04-17 14:15:53,0.13.3,53.0,tts,conda-forge/tts,,,"['pytorch', 'tensorflow']",,,https://pypi.org/project/tts,24517.0,56645.0,https://anaconda.org/conda-forge/tts,2021-12-15 19:29:56.367,7778.0,,,,,2.0,824706.0,,,,,,,,,,,,,,
210,glfw,glfw/glfw,image,,https://github.com/glfw/glfw,https://github.com/glfw/glfw,Zlib,2013-04-18 15:24:53.000,2023-05-10 09:19:48.416000,2023-03-31 14:18:46,4635.0,25.0,3873.0,386.0,624.0,472.0,1226.0,10591.0,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input.",188.0,31,False,2022-07-22 13:50:50,3.3.8,19.0,glfw,conda-forge/glfw,,,,2.0,2.0,https://pypi.org/project/glfw,117349.0,152623.0,https://anaconda.org/conda-forge/glfw,2023-05-10 09:19:48.416,115199.0,,,,,2.0,3235618.0,,,,,,,,,,,,,,
211,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/deepmind/sonnet,https://github.com/deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2023-02-23 15:39:15.000000,2023-02-23 15:39:10,857.0,3.0,1261.0,427.0,79.0,30.0,156.0,9565.0,TensorFlow-based neural network library.,56.0,31,True,2020-03-27 10:36:19,2.0.0,13.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],1049.0,1049.0,https://pypi.org/project/dm-sonnet,21662.0,22195.0,https://anaconda.org/conda-forge/sonnet,2020-11-14 18:13:23.843,22418.0,,,,,3.0,,,,,,,,,,,,,,,
212,auto-sklearn,automl/auto-sklearn,hyperopt,,https://github.com/automl/auto-sklearn,https://github.com/automl/auto-sklearn,BSD-3-Clause,2015-07-02 15:38:10.000,2023-04-18 11:41:02.000000,2023-04-18 11:08:13,2759.0,1.0,1194.0,213.0,695.0,148.0,823.0,6925.0,Automated Machine Learning with scikit-learn.,88.0,31,True,2023-02-13 12:35:21,0.15.0,35.0,auto-sklearn,conda-forge/auto-sklearn,,,['sklearn'],442.0,442.0,https://pypi.org/project/auto-sklearn,29350.0,29987.0,https://anaconda.org/conda-forge/auto-sklearn,2022-09-21 23:06:55.991,15942.0,,,,,2.0,43.0,,,,,,,,,,,,,,
213,Activeloop,activeloopai/Hub,data-pipelines,,https://github.com/activeloopai/deeplake,https://github.com/activeloopai/deeplake,MPL-2.0,2019-08-09 06:17:59.000,2023-05-11 14:23:44.000000,2023-05-11 09:42:23,7410.0,482.0,453.0,69.0,1894.0,49.0,367.0,5878.0,"AI Vector Database for LLMs/LangChain. Doubles as a Data Lake for Deep Learning. Store, query, version, & visualize..",109.0,31,True,2023-05-09 10:11:40,3.4.1,100.0,hub,,,,,188.0,188.0,https://pypi.org/project/hub,7275.0,7275.0,,,,,,,,2.0,,,,,,,,,,activeloopai/deeplake,,,,,
214,Darts,unit8co/darts,time-series-data,,https://github.com/unit8co/darts,https://github.com/unit8co/darts,Apache-2.0,2018-09-13 15:17:28.000,2023-05-11 11:22:41.000000,2023-05-06 13:21:27,999.0,61.0,648.0,50.0,758.0,203.0,798.0,5841.0,A python library for user-friendly forecasting and anomaly detection on time series.,87.0,31,True,2023-04-12 13:24:46,0.24.0,35.0,u8darts,conda-forge/u8darts-all,unit8/darts,,,254.0,254.0,https://pypi.org/project/u8darts,15841.0,17074.0,https://anaconda.org/conda-forge/u8darts-all,2023-04-12 19:12:26.863,27014.0,https://hub.docker.com/r/unit8/darts,2023-04-12 13:39:19.584706,,383.0,2.0,,,,,,,,,,,,,,,
215,pyfolio,quantopian/pyfolio,financial-data,,https://github.com/quantopian/pyfolio,https://github.com/quantopian/pyfolio,Apache-2.0,2015-06-01 15:31:39.000,2023-04-07 02:29:54.000000,2020-07-15 13:46:58,1184.0,,1475.0,305.0,292.0,140.0,265.0,4969.0,Portfolio and risk analytics in Python.,56.0,31,False,2019-04-15 11:38:22,0.9.2,8.0,pyfolio,conda-forge/pyfolio,,,,777.0,777.0,https://pypi.org/project/pyfolio,8453.0,8634.0,https://anaconda.org/conda-forge/pyfolio,2020-05-16 14:11:57.267,11455.0,,,,,1.0,,,,,,,,,,,,,,,
216,lightfm,lyst/lightfm,recommender-systems,,https://github.com/lyst/lightfm,https://github.com/lyst/lightfm,Apache-2.0,2015-07-30 08:34:00.000,2023-04-30 18:36:20.000000,2023-04-30 18:36:20,483.0,20.0,650.0,92.0,206.0,129.0,354.0,4332.0,"A Python implementation of LightFM, a hybrid recommendation algorithm.",47.0,31,True,2023-03-20 04:08:46,1.17,9.0,lightfm,conda-forge/lightfm,,,,1068.0,1068.0,https://pypi.org/project/lightfm,318012.0,320392.0,https://anaconda.org/conda-forge/lightfm,2023-03-24 09:32:34.243,152374.0,,,,,1.0,,,,,,,,,,,,,,,
217,MMOCR,open-mmlab/mmocr,ocr,,https://github.com/open-mmlab/mmocr,https://github.com/open-mmlab/mmocr,Apache-2.0,2021-04-07 13:40:21.000,2023-05-08 05:12:55.000000,2023-04-06 11:04:27,1124.0,63.0,633.0,59.0,993.0,94.0,711.0,3387.0,"OpenMMLab Text Detection, Recognition and Understanding Toolbox.",78.0,31,True,2023-04-06 11:05:25,1.0.0,19.0,mmocr,,,,['pytorch'],50.0,50.0,https://pypi.org/project/mmocr,10054.0,10054.0,,,,,,,,2.0,,,,,,,,,,,,,,,
218,implicit,benfred/implicit,recommender-systems,,https://github.com/benfred/implicit,https://github.com/benfred/implicit,MIT,2016-04-17 03:45:23.000,2023-04-21 02:09:58.000000,2022-12-11 00:17:11,408.0,,569.0,82.0,203.0,76.0,375.0,3152.0,Fast Python Collaborative Filtering for Implicit Feedback Datasets.,34.0,31,True,2022-12-11 00:47:48,0.6.2,14.0,implicit,conda-forge/implicit,,,,967.0,967.0,https://pypi.org/project/implicit,163368.0,170807.0,https://anaconda.org/conda-forge/implicit,2022-01-29 16:35:56.077,474769.0,,,,,1.0,343.0,,,,,,,,,,,,,,
219,pomegranate,jmschrei/pomegranate,probabilistics,,https://github.com/jmschrei/pomegranate,https://github.com/jmschrei/pomegranate,MIT,2014-11-24 18:36:58.000,2023-04-20 08:01:59.000000,2023-04-19 17:29:44,965.0,30.0,558.0,100.0,324.0,7.0,698.0,3100.0,"Fast, flexible and easy to use probabilistic modelling in Python.",68.0,31,True,2023-04-16 07:29:15,1.0.0,8.0,pomegranate,conda-forge/pomegranate,,,,920.0,920.0,https://pypi.org/project/pomegranate,37107.0,39744.0,https://anaconda.org/conda-forge/pomegranate,2022-09-19 21:08:05.664,121307.0,,,,,2.0,,,,,,,,,,,,,,,
220,zenml,zenml-io/zenml,data-pipelines,,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46.000,2023-05-11 14:26:20.000000,2023-05-10 09:16:15,5582.0,198.0,288.0,40.0,1338.0,10.0,166.0,2850.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",68.0,31,True,2023-05-10 10:02:54,0.39.1,66.0,zenml,,,,,98.0,98.0,https://pypi.org/project/zenml,4487.0,4487.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
221,mrjob,Yelp/mrjob,data-pipelines,,https://github.com/Yelp/mrjob,https://github.com/Yelp/mrjob,Apache-2.0,2010-10-13 18:35:21.000,2023-03-24 10:20:24.000000,2020-11-16 22:20:52,8622.0,,574.0,112.0,921.0,205.0,1093.0,2600.0,Run MapReduce jobs on Hadoop or Amazon Web Services.,142.0,31,False,,,13.0,mrjob,conda-forge/mrjob,,,,1276.0,1276.0,https://pypi.org/project/mrjob,69596.0,75971.0,https://anaconda.org/conda-forge/mrjob,2022-02-06 18:33:13.189,510024.0,,,,,2.0,,,,,,,,,,,,,,,
222,StatsForecast,Nixtla/statsforecast,time-series-data,,https://github.com/Nixtla/statsforecast,https://github.com/Nixtla/statsforecast,Apache-2.0,2021-11-24 02:19:14.000,2023-05-11 10:30:24.000000,2023-05-10 20:01:49,1132.0,38.0,169.0,24.0,273.0,62.0,97.0,2533.0,Lightning fast forecasting with statistical and econometric models.,21.0,31,True,2023-02-28 19:25:43,1.5.0,23.0,statsforecast,conda-forge/statsforecast,,,,257.0,257.0,https://pypi.org/project/statsforecast,377202.0,379705.0,https://anaconda.org/conda-forge/statsforecast,2023-03-09 15:13:56.487,35046.0,,,,,2.0,,,6.0,,,,,,,,,,,,
223,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/deepmind/dm-haiku,https://github.com/deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2023-05-11 12:52:08.000000,2023-05-11 12:52:02,885.0,39.0,206.0,40.0,431.0,62.0,157.0,2480.0,JAX-based neural network library.,74.0,31,True,2022-11-16 12:15:05,0.0.9,11.0,dm-haiku,conda-forge/dm-haiku,,,,1218.0,1218.0,https://pypi.org/project/dm-haiku,128582.0,128970.0,https://anaconda.org/conda-forge/dm-haiku,2022-09-21 19:38:58.042,10502.0,,,,,3.0,,,,,,,,,,,,,,,
224,hdbscan,scikit-learn-contrib/hdbscan,others,,https://github.com/scikit-learn-contrib/hdbscan,https://github.com/scikit-learn-contrib/hdbscan,BSD-3-Clause,2015-04-22 13:32:37.000,2023-03-22 19:43:04.000000,2022-11-10 18:59:22,964.0,,412.0,55.0,126.0,303.0,162.0,2428.0,A high performance implementation of HDBSCAN clustering.,81.0,31,True,2022-10-31 20:21:51,0.8.29-1,42.0,hdbscan,conda-forge/hdbscan,,,['sklearn'],2191.0,2191.0,https://pypi.org/project/hdbscan,447518.0,466153.0,https://anaconda.org/conda-forge/hdbscan,2023-02-05 19:19:05.978,1528140.0,,,,,2.0,,,,,,,,,,,,,,,
225,HoloViews,holoviz/holoviews,data-viz,,https://github.com/holoviz/holoviews,https://github.com/holoviz/holoviews,BSD-3-Clause,2014-05-07 16:59:22.000,2023-05-11 10:11:22.000000,2023-05-09 07:06:07,10496.0,46.0,367.0,61.0,2693.0,967.0,2028.0,2420.0,"With Holoviews, your data visualizes itself.",134.0,31,True,2023-05-09 07:31:38,1.16.0,71.0,holoviews,conda-forge/holoviews,,,['jupyter'],,,https://pypi.org/project/holoviews,325034.0,340183.0,https://anaconda.org/conda-forge/holoviews,2023-05-11 09:41:11.293,1218441.0,,,,,2.0,,,,@pyviz/jupyterlab_pyviz,https://www.npmjs.com/package/@pyviz/jupyterlab_pyviz,644.0,,,,,,,,,
226,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2023-05-08 09:48:21.000000,2023-05-08 09:48:04,2873.0,16.0,649.0,77.0,808.0,212.0,597.0,2357.0,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",115.0,31,True,2023-04-08 06:38:26,0.1.22,12.0,pgmpy,,,,,613.0,613.0,https://pypi.org/project/pgmpy,55932.0,55938.0,,,,,,,,2.0,226.0,,,,,,,,,,,,,,
227,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2023-04-21 08:03:45.000000,2023-04-20 03:41:53,699.0,7.0,222.0,38.0,779.0,61.0,280.0,2283.0,PyTorch extensions for high performance and large scale training.,72.0,31,True,2022-12-11 18:09:19,0.4.13,35.0,fairscale,conda-forge/fairscale,,,['pytorch'],1982.0,1982.0,https://pypi.org/project/fairscale,420022.0,426635.0,https://anaconda.org/conda-forge/fairscale,2022-12-12 02:08:24.604,119038.0,,,,,2.0,,,,,,,,,,,,,,,
228,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2023-05-11 11:57:41.000000,2023-05-10 12:02:58,2038.0,171.0,539.0,76.0,2548.0,168.0,607.0,2086.0,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",204.0,31,True,2023-05-08 20:03:52,2.0.2,24.0,torchaudio,,,,['pytorch'],,,https://pypi.org/project/torchaudio,995018.0,995018.0,,,,,,,,2.0,,,,,,,,,,,,,,,
229,rubrix,recognai/rubrix,nlp,,https://github.com/argilla-io/argilla,https://github.com/argilla-io/argilla,Apache-2.0,2021-04-28 14:37:42.000,2023-05-11 14:29:20.000000,2023-05-10 14:29:11,1640.0,254.0,177.0,20.0,1679.0,223.0,864.0,1870.0,Argilla: the open-source data curation platform for LLMs.,47.0,31,True,2023-05-10 13:42:53,1.7.0,82.0,rubrix,conda-forge/rubrix,,,,351.0,351.0,https://pypi.org/project/rubrix,1025.0,2267.0,https://anaconda.org/conda-forge/rubrix,2022-10-06 03:07:26.056,21130.0,,,,,2.0,,,9.0,,,,,,,argilla-io/argilla,,,,,
230,GPflow,GPflow/GPflow,probabilistics,,https://github.com/GPflow/GPflow,https://github.com/GPflow/GPflow,Apache-2.0,2016-01-14 11:29:24.000,2023-05-08 11:10:18.000000,2023-05-03 20:35:27,2433.0,10.0,418.0,76.0,1241.0,116.0,675.0,1729.0,Gaussian processes in TensorFlow.,83.0,31,True,2023-05-03 22:33:00,2.8.0,46.0,gpflow,conda-forge/gpflow,,,['tensorflow'],507.0,507.0,https://pypi.org/project/gpflow,55695.0,56047.0,https://anaconda.org/conda-forge/gpflow,2022-05-24 14:05:38.796,21127.0,,,,,2.0,,,,,,,,,,,,,,,
231,spacy-transformers,explosion/spacy-transformers,nlp,,https://github.com/explosion/spacy-transformers,https://github.com/explosion/spacy-transformers,MIT,2019-07-26 19:12:34.000,2023-04-26 12:37:21.000000,2023-04-26 12:37:21,1449.0,18.0,150.0,31.0,220.0,,,1242.0,"Use pretrained transformers like BERT, XLNet and GPT-2 in spaCy.",21.0,31,True,2023-04-17 13:53:05,1.2.3,36.0,spacy-transformers,conda-forge/spacy-transformers,,,['spacy'],999.0,999.0,https://pypi.org/project/spacy-transformers,250369.0,251131.0,https://anaconda.org/conda-forge/spacy-transformers,2023-04-18 10:15:55.250,13730.0,,,,,2.0,,,,,,,,,,,,,,,
232,ktrain,amaiya/ktrain,ml-frameworks,,https://github.com/amaiya/ktrain,https://github.com/amaiya/ktrain,Apache-2.0,2019-02-06 17:01:39.000,2023-05-11 02:31:16.000000,2023-05-11 02:30:51,2963.0,78.0,256.0,32.0,37.0,,455.0,1134.0,ktrain is a Python library that makes deep learning and AI more accessible and easier to apply.,16.0,31,True,2023-05-11 01:08:23,0.37.0,100.0,ktrain,,,,['tensorflow'],413.0,413.0,https://pypi.org/project/ktrain,22123.0,22123.0,,,,,,,,3.0,,,,,,,,,,,,,,,
233,SALib,SALib/SALib,probabilistics,,https://github.com/SALib/SALib,https://github.com/SALib/SALib,MIT,2013-05-30 13:38:10.000,2023-05-02 11:40:38.000000,2023-05-02 11:40:38,1798.0,49.0,208.0,20.0,272.0,37.0,259.0,714.0,"Sensitivity Analysis Library in Python. Contains Sobol, Morris, FAST, and other methods.",41.0,31,True,2023-01-08 01:02:35,1.4.7,33.0,salib,conda-forge/salib,,,,747.0,747.0,https://pypi.org/project/salib,135777.0,137286.0,https://anaconda.org/conda-forge/salib,2023-01-08 04:17:22.342,117749.0,,,,,2.0,,,,,,,,,,,,,,,
234,tensorflow-upstream,ROCmSoftwarePlatform/tensorflow-upstream,ml-frameworks,,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,Apache-2.0,2018-04-09 21:24:50.000,2023-05-11 13:59:15.000000,2023-05-10 16:32:14,151642.0,4470.0,74.0,50.0,1758.0,64.0,275.0,646.0,TensorFlow ROCm port.,4372.0,31,True,2019-10-11 17:16:09,2.0.0-rocm,2.0,tensorflow-rocm,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-rocm,2620.0,2620.0,,,,,,,,3.0,21.0,,,,,,,,,,,,,,
235,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2023-05-11 12:54:44.000000,2022-06-10 09:12:18,238.0,,12617.0,1576.0,214.0,694.0,577.0,48204.0,The worlds simplest facial recognition api for Python and the command line.,54.0,30,True,2018-04-02 17:18:43,1.2.2,2.0,face_recognition,conda-forge/face_recognition,,,['pytorch'],,,https://pypi.org/project/face_recognition,64976.0,65485.0,https://anaconda.org/conda-forge/face_recognition,2021-04-30 19:06:15.265,15811.0,,,,,2.0,1104.0,,,,,,,,,,,,,,
236,TFlearn,tflearn/tflearn,ml-frameworks,,https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn,,2016-03-31 12:05:53.000,2021-01-25 09:41:59.000000,2020-11-30 04:34:51,613.0,,2315.0,463.0,255.0,551.0,362.0,9590.0,Deep learning library featuring a higher-level API for TensorFlow.,128.0,30,False,2020-11-11 19:26:11,0.5.0,8.0,tflearn,,,,['tensorflow'],4426.0,4426.0,https://pypi.org/project/tflearn,11240.0,11240.0,,,,,,,,3.0,,,,,,,,,,,,,,,
237,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2023-05-10 08:31:36.000000,2023-05-10 08:31:31,3409.0,38.0,694.0,129.0,141.0,107.0,852.0,8817.0,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",81.0,30,True,2016-02-17 09:22:48,4.0,45.0,ocrmypdf,conda-forge/ocrmypdf,,,,530.0,530.0,https://pypi.org/project/ocrmypdf,35937.0,37595.0,https://anaconda.org/conda-forge/ocrmypdf,2023-05-02 14:27:49.331,44785.0,,,,,2.0,,,,,,,ocrmypdf,ocrmypdf,,,,,,,
238,imageai,OlafenwaMoses/ImageAI,image,,https://github.com/OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,MIT,2018-03-19 23:12:33.000,2023-03-03 22:50:09.000000,2023-03-03 22:50:09,374.0,5.0,2038.0,286.0,92.0,275.0,437.0,7743.0,A python library built to empower developers to build applications and systems with self-contained Computer Vision..,17.0,30,True,2022-12-20 21:17:57,test-resources-v3,12.0,imageai,conda-forge/imageai,,,,1334.0,1334.0,https://pypi.org/project/imageai,8569.0,22706.0,https://anaconda.org/conda-forge/imageai,2021-04-30 19:03:25.297,5512.0,,,,,2.0,852488.0,,,,,,,,,,,,,,
